DP_000005.csv, 3.000000e-01
5.408250e+02, DP_000006.csv, 5.000000e-01
5.399674e+02, DP_000007.csv, 9.900000e-01
4.991568e+02, DP_000008.csv, 9.000000e-01
5.015611e+02, DP_000009.csv, 6.000000e-01
4.677929e+02, DP_000010.csv, 4.000000e-01
5.400729e+02, DP_000011.csv, 8.000000e-01
4.978425e+02, DP_000012.csv, 7.000000e-01
5.249188e+02, DP_000013.csv, 2.000000e-01
5.144464e+02, DP_000014.csv, 9.900000e-01
5.516781e+02, DP_000015.csv, 8.000000e-01
5.609935e+02, DP_000016.csv, 6.000000e-01
5.396019e+02, DP_000017.csv, 4.000000e-01
5.093284e+02, DP_000018.csv, 9.000000e-01
5.839860e+02, DP_000019.csv, 2.000000e-01
5.750325e+02, DP_000020.csv, 5.000000e-01
5.415652e+02, DP_000021.csv, 7.000000e-01
4.942670e+02, DP_000022.csv, 3.000000e-01
5.405022e+02, DP_000023.csv, 9.900000e-01
5.457990e+02, DP_000024.csv, 3.000000e-01
5.551137e+02, DP_000025.csv, 7.000000e-01
5.845820e+02, DP_000026.csv, 5.000000e-01
5.135670e+02, DP_000027.csv, 6.000000e-01
5.063750e+02, DP_000028.csv, 2.000000e-01
5.285185e+02, DP_000029.csv, 4.000000e-01
4.705159e+02, DP_000030.csv, 8.000000e-01
5.692319e+02, DP_000031.csv, 9.000000e-01
5.278442e+02, DP_000032.csv, 9.900000e-01
5.285010e+02, DP_000033.csv, 8.000000e-01
5.329125e+02, DP_000034.csv, 7.000000e-01
5.336969e+02, DP_000035.csv, 3.000000e-01
5.804536e+02, DP_000036.csv, 9.000000e-01
5.291722e+02, DP_000037.csv, 4.000000e-01
5.480500e+02, DP_000038.csv, 6.000000e-01
5.674500e+02, DP_000039.csv, 2.000000e-01
5.394672e+02, DP_000040.csv, 5.000000e-01
5.880978e+02, 
