=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 15:48:04 =~=~=~=~=~=~=~=~=~=~=~=
,0.000,
130695,0.00,
130710,0.00,
130724,0.00,
130739,0.00,
130753,0.00,
130768,0.00,
130783,0.0000,
130666,0.00,
130680,0.00,
130695,0.00,
130710,0.00,
130724,0.00,
130739,0.00,
130753,0.00,
130768,0.00,
130783,0.000,0.00,
0,0.00,
1,0.00,
1,0.00,
1,0.00,
2,0.00,
2,0.00,
3,0.00,
7,0.00,
16,0.00,
26,0.00,
36,0.00,
48,0.00,
58,0.00,
68,0.00,
78,0.00,
89,0.00,
99,0.00,
110,0.00,
121,0.00,
133,0.00,
144,0.00,
155,0.00,
166,0.00,
179,0.00,
190,0.00,
201,0.00,
212,0.00,
224,0.00,
235,0.00,
247,0.00,
259,0.00,
270,0.00,
281,0.00,
292,0.00,
304,0.00,
316,0.00,
327,0.00,
338,0.00,
350,0.00,
361,0.00,
373,0.00,
385,0.00,
396,0.00,
407,0.00,
418,0.00,
430,0.00,
442,0.00,
453,0.00,
464,0.00,
476,0.00,
487,0.00,
498,0.00,
510,0.00,
522,0.00,
533,0.00,
544,0.00,
556,0.00,
567,0.00,
579,0.00,
590,0.00,
602,0.00,
613,0.00,
624,0.00,
635,0.00,
648,0.00,
659,0.00,
670,0.00,
681,0.00,
693,0.00,
704,0.00,
716,0.00,
728,0.00,
739,0.00,
750,0.00,
761,0.00,
774,0.00,
785,0.00,
796,0.00,
807,0.00,
819,0.00,
830,0.00,
842,0.00,
854,0.00,
865,0.00,
876,0.00,
887,0.00,
899,0.00,
911,0.00,
922,0.00,
933,0.00,
945,0.00,
956,0.00,
967,0.00,
979,0.00,
991,0.00,
1002,0.00,
1014,0.00,
1027,0.00,
1040,0.00,
1052,0.00,
1064,0.00,
1077,0.00,
1089,0.00,
1101,0.00,
1115,0.00,
1127,0.00,
1139,0.00,
1152,0.00,
1164,0.00,
1177,0.00,
1189,0.00,
1202,0.00,
1214,0.00,
1226,0.00,
1240,0.00,
1252,0.00,
1264,0.00,
1276,0.00,
1289,0.00,
1301,0.00,
1314,0.00,
1327,0.00,
1339,0.00,
1351,0.00,
1363,0.00,
1377,0.00,
1389,0.00,
1401,0.00,
1414,0.00,
1426,0.00,
1439,0.00,
1452,0.00,
1464,0.00,
1476,0.00,
1488,0.00,
1501,0.00,
1514,0.00,
1526,0.00,
1539,0.00,
1551,0.00,
1563,0.00,
1576,0.00,
1589,0.00,
1601,0.00,
1613,0.00,
1626,0.00,
1639,0.00,
1651,0.00,
1664,0.00,
1676,0.00,
1688,0.00,
1700,0.00,
1714,0.00,
1726,0.00,
1738,0.00,
1751,0.00,
1763,0.00,
1776,0.00,
1788,0.00,
1801,0.00,
1813,0.00,
1825,0.00,
1839,0.00,
1851,0.00,
1863,0.00,
1875,0.00,
1888,0.00,
1900,0.00,
1913,0.00,
1926,0.00,
1938,0.00,
1950,0.00,
1963,0.00,
1976,0.00,
1988,0.00,
2000,0.00,
2013,0.00,
2025,0.00,
2038,0.00,
2051,0.00,
2063,0.00,
2075,0.00,
2087,0.00,
2100,0.00,
2113,0.00,
2125,0.00,
2138,0.00,
2150,0.00,
2162,0.00,
2176,0.00,
2188,0.00,
2200,0.00,
2212,0.00,
2225,0.00,
2238,0.00,
2250,0.00,
2263,0.00,
2275,0.00,
2287,0.00,
2299,0.00,
2313,0.00,
2325,0.00,
2337,0.00,
2350,0.00,
2362,0.00,
2375,0.00,
2387,0.00,
2400,0.00,
2412,0.00,
2424,0.00,
2438,0.00,
2450,0.00,
2462,0.00,
2475,0.00,
2487,0.00,
2499,0.00,
2512,0.00,
2525,0.00,
2537,0.00,
2549,0.00,
2562,0.00,
2575,0.00,
2587,0.00,
2599,0.00,
2612,0.00,
2624,0.00,
2637,0.00,
2650,0.00,
2662,0.00,
2674,0.00,
2686,0.00,
2699,0.00,
2712,0.00,
2724,0.00,
2737,0.00,
2749,0.00,
2761,0.00,
2775,0.00,
2787,0.00,
2799,0.00,
2811,0.00,
2824,0.00,
2837,0.00,
2849,0.00,
2862,0.00,
2874,0.00,
2886,0.00,
2898,0.00,
2912,0.00,
2924,0.00,
2936,0.00,
2949,0.00,
2961,0.00,
2974,0.00,
2987,0.00,
2999,0.00,
3011,0.00,
3023,0.00,
3037,0.00,
3049,0.00,
3061,0.00,
3074,0.00,
3086,0.00,
3098,0.00,
3111,0.00,
3124,0.00,
3136,0.00,
3148,0.00,
3161,0.00,
3174,0.00,
3186,0.00,
3198,0.00,
3211,0.00,
3223,0.00,
3236,0.00,
3249,0.00,
3261,0.00,
3273,0.00,
3286,0.00,
3298,0.00,
3311,0.00,
3323,0.00,
3336,0.00,
3348,0.00,
3360,0.00,
3374,0.00,
3386,0.00,
3398,0.00,
3410,0.00,
3423,0.07,
3436,0.20,
3448,0.09,
3461,0.00,
3473,0.07,
3485,0.04,
3497,0.00,
3511,0.13,
3523,0.02,
3535,0.25,
3548,0.18,
3560,0.00,
3573,0.20,
3586,0.00,
3598,0.31,
3610,0.27,
3622,0.22,
3636,0.25,
3648,0.32,
3660,0.15,
3673,0.00,
3685,0.16,
3697,0.23,
3710,0.03,
3723,0.35,
3735,0.02,
3747,0.32,
3760,0.10,
3773,0.04,
3785,0.00,
3798,0.00,
3810,0.00,
3822,0.00,
3835,0.00,
3848,0.32,
3860,0.02,
3872,0.13,
3885,0.00,
3897,0.00,
3910,0.06,
3922,0.00,
3935,0.00,
3947,0.02,
3959,0.32,
3973,0.23,
3985,0.24,
3997,0.32,
4009,0.00,
4022,0.35,
4035,0.11,
4047,0.01,
4060,0.00,
4072,0.00,
4084,0.01,
4097,0.12,
4110,0.29,
4122,0.04,
4134,0.07,
4147,0.35,
4159,0.00,
4172,0.00,
4185,0.00,
4197,0.00,
4209,0.00,
4221,0.00,
4235,0.00,
4247,0.00,
4259,0.00,
4272,0.13,
4284,0.00,
4296,0.06,
4310,0.27,
4322,0.19,
4334,0.02,
4346,0.16,
4359,0.00,
4372,0.31,
4384,0.18,
4397,0.21,
4409,0.32,
4421,0.00,
4434,0.33,
4447,0.17,
4459,0.05,
4471,0.01,
4484,0.02,
4496,0.09,
4509,0.22,
4521,0.32,
4534,0.00,
4546,0.17,
4558,0.13,
4572,0.10,
4584,0.00,
4596,0.00,
4609,0.00,
4621,0.00,
4634,0.00,
4646,0.05,
4659,0.09,
4671,0.26,
4683,0.00,
4696,0.08,
4709,0.04,
4721,0.11,
4733,0.00,
4746,0.00,
4758,0.09,
4771,0.01,
4784,0.07,
4796,0.01,
4808,0.06,
4820,0.32,
4834,0.11,
4846,0.00,
4858,0.04,
4871,0.08,
4883,0.04,
4895,0.00,
4909,0.06,
4921,0.25,
4933,0.10,
4945,0.05,
4958,0.34,
4971,0.00,
4983,0.00,
4996,0.00,
5008,0.00,
5020,0.00,
5033,0.25,
5046,0.00,
5058,0.11,
5070,0.00,
5083,0.29,
5095,0.01,
5108,0.07,
5121,0.11,
5133,0.05,
5145,0.27,
5157,0.00,
5171,0.00,
5183,0.00,
5195,0.09,
5208,0.27,
5220,0.10,
5233,0.00,
5245,0.10,
5258,0.20,
5270,0.16,
5282,0.04,
5295,0.00,
5308,0.13,
5320,0.35,
5332,0.00,
5345,0.20,
5357,0.05,
5370,0.00,
5383,0.00,
5395,0.00,
5407,0.00,
5420,0.27,
5433,0.04,
5445,0.06,
5457,0.33,
5470,0.28,
5482,0.24,
5494,0.20,
5508,0.16,
5520,0.26,
5532,0.34,
5544,0.01,
5557,0.02,
5570,0.02,
5582,0.00,
5595,0.21,
5607,0.00,
5619,0.34,
5633,0.19,
5645,0.11,
5657,0.11,
5669,0.16,
5682,0.27,
5694,0.21,
5707,0.00,
5720,0.17,
5732,0.18,
5744,0.06,
5756,0.00,
5770,0.00,
5782,0.00,
5794,0.00,
5807,0.00,
5819,0.00,
5832,0.00,
5844,0.24,
5857,0.00,
5869,0.35,
5881,0.00,
5894,0.00,
5907,0.21,
5919,0.16,
5932,0.30,
5944,0.09,
5956,0.00,
5969,0.04,
5982,0.23,
5994,0.02,
6006,0.25,
6019,0.05,
6032,0.00,
6044,0.00,
6056,0.00,
6069,0.00,
6081,0.10,
6093,0.28,
6107,0.08,
6119,0.05,
6131,0.34,
6144,0.00,
6156,0.00,
6169,0.00,
6181,0.00,
6194,0.00,
6206,0.06,
6218,0.10,
6232,0.00,
6244,0.00,
6256,0.14,
6268,0.32,
6281,0.21,
6293,0.01,
6306,0.17,
6319,0.00,
6331,0.26,
6343,0.11,
6355,0.15,
6369,0.31,
6381,0.00,
6393,0.28,
6406,0.06,
6418,0.00,
6431,0.00,
6444,0.00,
6456,0.00,
6468,0.05,
