=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:31:29 =~=~=~=~=~=~=~=~=~=~=~=
0.000.00,
95568,0.,
95447,0.00,
95460,0.25,
95473,0.01,
95488,0.07,
95501,0.37,
95514,0.31,
95527,0.26,
95541,0.26,
95555,0.00,
95568,0.0
95447,0.00,
95460,0.25,
95473,0.01,
95488,0.07,
95501,0.37,
95514,0.31,
95527,0.26,
95541,0.26,
95555,0.00,
95568,0.00,0.00,
0,0.37,
1,0.10,
1,0.00,
1,0.32,
2,0.06,
2,0.00,
3,0.27,
7,0.26,
16,0.04,
26,0.02,
36,0.02,
48,0.37,
58,0.08,
68,0.00,
78,0.00,
89,0.00,
99,0.02,
110,0.20,
121,0.17,
133,0.22,
144,0.33,
155,0.08,
166,0.01,
179,0.26,
190,0.03,
201,0.17,
212,0.02,
224,0.23,
235,0.00,
247,0.00,
259,0.00,
270,0.00,
281,0.00,
292,0.00,
304,0.00,
316,0.00,
327,0.03,
338,0.00,
350,0.22,
361,0.02,
373,0.13,
385,0.00,
396,0.00,
407,0.19,
418,0.00,
430,0.00,
442,0.02,
453,0.26,
464,0.00,
476,0.36,
487,0.19,
498,0.11,
510,0.10,
522,0.16,
533,0.29,
544,0.15,
556,0.00,
567,0.23,
579,0.04,
590,0.17,
602,0.02,
613,0.24,
624,0.00,
635,0.00,
648,0.00,
659,0.00,
670,0.00,
681,0.07,
693,0.00,
704,0.19,
716,0.02,
728,0.00,
739,0.38,
750,0.02,
761,0.27,
774,0.33,
785,0.00,
796,0.25,
807,0.35,
819,0.08,
830,0.03,
842,0.32,
854,0.14,
865,0.00,
876,0.00,
887,0.00,
899,0.00,
911,0.11,
922,0.29,
933,0.06,
945,0.07,
956,0.38,
967,0.03,
979,0.31,
991,0.09,
1002,0.06,
1014,0.00,
1027,0.00,
1040,0.00,
1052,0.00,
1064,0.21,
1077,0.00,
1089,0.34,
1101,0.24,
1115,0.07,
1127,0.02,
1139,0.00,
1152,0.30,
1164,0.29,
1177,0.06,
1189,0.21,
1202,0.07,
1214,0.09,
1226,0.25,
1240,0.04,
1252,0.16,
1264,0.00,
1276,0.26,
1289,0.31,
1301,0.25,
1314,0.26,
1327,0.32,
1339,0.32,
1351,0.03,
1363,0.02,
1377,0.22,
1389,0.00,
1401,0.00,
1414,0.00,
1426,0.00,
1439,0.07,
1452,0.00,
1464,0.01,
1476,0.16,
1488,0.04,
1501,0.33,
1514,0.29,
1526,0.00,
1539,0.04,
1551,0.00,
1563,0.32,
1576,0.12,
1589,0.10,
1601,0.22,
1613,0.16,
1626,0.06,
1639,0.11,
1651,0.28,
1664,0.13,
1676,0.07,
1688,0.05,
1700,0.09,
1714,0.17,
1726,0.30,
1738,0.18,
1751,0.00,
1763,0.19,
1776,0.00,
1788,0.00,
1801,0.00,
1813,0.00,
1825,0.34,
1839,0.19,
1851,0.00,
1863,0.21,
1875,0.00,
1888,0.23,
1900,0.23,
1913,0.00,
1926,0.03,
1938,0.00,
1950,0.37,
1963,0.20,
1976,0.19,
1988,0.32,
2000,0.00,
2013,0.17,
2025,0.00,
2038,0.32,
2051,0.27,
2063,0.21,
2075,0.20,
2087,0.23,
2100,0.32,
2113,0.20,
2125,0.00,
2138,0.11,
2150,0.00,
2162,0.00,
2176,0.00,
2188,0.00,
2200,0.00,
2212,0.00,
2225,0.20,
2238,0.00,
2250,0.21,
2263,0.27,
2275,0.32,
2287,0.00,
2299,0.09,
2313,0.00,
2325,0.22,
2337,0.03,
2350,0.00,
2362,0.07,
2375,0.30,
2387,0.00,
2400,0.31,
2412,0.09,
2424,0.00,
2438,0.00,
2450,0.01,
2462,0.00,
2475,0.00,
2487,0.07,
2499,0.22,
2512,0.29,
2525,0.00,
2537,0.00,
2549,0.00,
2562,0.00,
2575,0.00,
2587,0.04,
2599,0.00,
2612,0.00,
2624,0.11,
2637,0.17,
2650,0.06,
2662,0.02,
2674,0.13,
2686,0.07,
2699,0.27,
2712,0.00,
2724,0.08,
2737,0.07,
2749,0.00,
2761,0.13,
2775,0.10,
2787,0.20,
2799,0.02,
2811,0.01,
2824,0.07,
2837,0.09,
2849,0.04,
2862,0.00,
2874,0.05,
2886,0.21,
2898,0.27,
2912,0.00,
2924,0.00,
2936,0.00,
2949,0.00,
2961,0.39,
2974,0.25,
2987,0.32,
2999,0.00,
3011,0.36,
3023,0.00,
3037,0.00,
3049,0.15,
3061,0.06,
3074,0.23,
3086,0.00,
3098,0.26,
3111,0.31,
3124,0.07,
3136,0.03,
3148,0.36,
3161,0.05,
3174,0.03,
3186,0.28,
3198,0.35,
3211,0.33,
3223,0.36,
3236,0.21,
3249,0.02,
3261,0.03,
3273,0.21,
3286,0.21,
3298,0.00,
3311,0.00,
3323,0.00,
3336,0.00,
3348,0.36,
3360,0.13,
3374,0.26,
3386,0.00,
3398,0.09,
3410,0.01,
3423,0.31,
3436,0.15,
3448,0.28,
3461,0.00,
3473,0.26,
3485,0.37,
3497,0.14,
3511,0.00,
3523,0.26,
3535,0.00,
3548,0.18,
3560,0.30,
3573,0.21,
3586,0.18,
3598,0.21,
3610,0.28,
3622,0.32,
3636,0.01,
3648,0.04,
3660,0.26,
3673,0.00,
3685,0.00,
3697,0.00,
3710,0.00,
3723,0.03,
3735,0.00,
3747,0.00,
3760,0.09,
3773,0.22,
3785,0.06,
3798,0.34,
3810,0.15,
3822,0.26,
3835,0.01,
3848,0.35,
3860,0.28,
3872,0.36,
3885,0.03,
3897,0.14,
3910,0.02,
3922,0.30,
3935,0.14,
3947,0.05,
3959,0.02,
3973,0.04,
3985,0.10,
3997,0.21,
4009,0.37,
4022,0.01,
4035,0.06,
4047,0.00,
4060,0.00,
4072,0.00,
4084,0.00,
4097,0.00,
4110,0.00,
4122,0.23,
4134,0.00,
4147,0.37,
4159,0.15,
4172,0.02,
4185,0.00,
4197,0.25,
4209,0.21,
4221,0.23,
4235,0.10,
4247,0.00,
4259,0.00,
4272,0.10,
4284,0.36,
4296,0.01,
4310,0.23,
4322,0.23,
4334,0.10,
4346,0.04,
4359,0.04,
4372,0.08,
4384,0.17,
4397,0.31,
4409,0.12,
4421,0.00,
4434,0.00,
4447,0.00,
4459,0.00,
4471,0.00,
4484,0.00,
4496,0.11,
4509,0.05,
4521,0.06,
4534,0.02,
4546,0.01,
