=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:39:18 =~=~=~=~=~=~=~=~=~=~=~=

13,
96839,0.09,
96852,0.16,
96866,0.19,
944,0.03,
96758,0.00,
96772,0.22,
96785,0.00,
96798,0.07,
96812,0.00,
96826,0.28,
96839,0.09,
96852,0.16,
96866,0.19,
964,0.03,
96758,0.00,
96772,0.22,
96785,0.00,
96798,0.07,
96812,0.00,
96826,0.28,
96839,0.09,
96852,0.16,
96866,0.19,
964,0.03,
96758,0.00,
96772,0.22,
96785,0.00,
96798,0.07,
96812,0.00,
96826,0.28,
96839,0.09,
96852,0.16,
96866,0.19,
960,0.02,
0,0.03,
1,0.35,
1,0.18,
2,0.02,
2,0.05,
2,0.35,
3,0.18,
7,0.07,
16,0.18,
26,0.11,
36,0.05,
48,0.00,
58,0.00,
68,0.00,
78,0.00,
89,0.00,
99,0.03,
110,0.00,
121,0.39,
133,0.10,
144,0.05,
155,0.00,
166,0.28,
179,0.31,
190,0.00,
201,0.32,
212,0.25,
224,0.34,
235,0.00,
247,0.18,
259,0.00,
270,0.19,
281,0.36,
292,0.33,
304,0.38,
316,0.12,
327,0.00,
338,0.13,
350,0.35,
361,0.00,
373,0.30,
385,0.00,
396,0.34,
407,0.06,
418,0.00,
430,0.00,
442,0.00,
453,0.00,
464,0.02,
476,0.00,
487,0.18,
498,0.02,
510,0.00,
522,0.35,
533,0.09,
544,0.21,
556,0.26,
567,0.00,
579,0.34,
590,0.29,
602,0.36,
613,0.00,
624,0.26,
635,0.01,
648,0.04,
659,0.17,
670,0.20,
681,0.10,
693,0.00,
704,0.06,
716,0.27,
728,0.04,
739,0.11,
750,0.21,
761,0.10,
774,0.08,
785,0.21,
796,0.00,
807,0.00,
819,0.00,
830,0.00,
842,0.15,
854,0.01,
865,0.00,
876,0.00,
887,0.00,
899,0.20,
911,0.00,
922,0.18,
933,0.02,
945,0.13,
956,0.00,
967,0.00,
979,0.08,
991,0.35,
1002,0.01,
1014,0.20,
1027,0.06,
1040,0.19,
1052,0.00,
1064,0.09,
1077,0.32,
1089,0.37,
1101,0.37,
1115,0.19,
1127,0.03,
1139,0.01,
1152,0.17,
1164,0.36,
1177,0.00,
1189,0.00,
1202,0.00,
1214,0.00,
1226,0.00,
1240,0.00,
1252,0.21,
1264,0.27,
1276,0.33,
1289,0.02,
1301,0.15,
1314,0.00,
1327,0.00,
1339,0.15,
1351,0.00,
1363,0.12,
1377,0.06,
1389,0.00,
1401,0.21,
1414,0.00,
1426,0.31,
1439,0.11,
1452,0.01,
1464,0.00,
1476,0.00,
1488,0.00,
1501,0.06,
1514,0.19,
1526,0.36,
1539,0.01,
1551,0.00,
1563,0.00,
1576,0.00,
1589,0.00,
1601,0.00,
1613,0.00,
1626,0.06,
1639,0.08,
1651,0.31,
1664,0.08,
1676,0.23,
1688,0.00,
1700,0.00,
1714,0.22,
1726,0.00,
1738,0.02,
1751,0.00,
1763,0.02,
1776,0.28,
1788,0.00,
1801,0.37,
1813,0.19,
1825,0.07,
1839,0.02,
1851,0.02,
1863,0.06,
1875,0.14,
1888,0.28,
1900,0.20,
1913,0.00,
1926,0.00,
1938,0.00,
1950,0.00,
1963,0.00,
1976,0.00,
1988,0.00,
2000,0.00,
2013,0.00,
2025,0.03,
2038,0.05,
2051,0.00,
2063,0.03,
2075,0.00,
2087,0.00,
2100,0.14,
2113,0.00,
2125,0.03,
2138,0.02,
2150,0.02,
2162,0.30,
2176,0.00,
2188,0.29,
2200,0.24,
2212,0.12,
2225,0.07,
2238,0.08,
2250,0.13,
2263,0.23,
2275,0.37,
2287,0.05,
2299,0.03,
2313,0.00,
2325,0.00,
2337,0.00,
2350,0.00,
2362,0.09,
2375,0.22,
2387,0.32,
2400,0.01,
2412,0.02,
2424,0.01,
2438,0.02,
2450,0.35,
2462,0.31,
2475,0.14,
2487,0.10,
2499,0.00,
2512,0.00,
2525,0.02,
2537,0.25,
2549,0.01,
2562,0.28,
2575,0.06,
2587,0.00,
2599,0.01,
2612,0.04,
2624,0.02,
2637,0.00,
2650,0.03,
2662,0.18,
2674,0.37,
2686,0.00,
2699,0.00,
2712,0.00,
2724,0.00,
2737,0.15,
2749,0.00,
2761,0.34,
2775,0.32,
2787,0.02,
2799,0.00,
2811,0.37,
2824,0.01,
2837,0.36,
2849,0.27,
2862,0.00,
2874,0.18,
2886,0.36,
2898,0.29,
2912,0.00,
2924,0.15,
2936,0.03,
2949,0.28,
2961,0.10,
2974,0.01,
2987,0.00,
2999,0.00,
3011,0.01,
3023,0.09,
3037,0.23,
3049,0.31,
3061,0.00,
3074,0.00,
3086,0.00,
3098,0.00,
3111,0.18,
3124,0.00,
3136,0.00,
3148,0.00,
3161,0.00,
3174,0.00,
3186,0.31,
3198,0.11,
3211,0.22,
3223,0.25,
3236,0.05,
3249,0.24,
3261,0.13,
3273,0.17,
3286,0.34,
3298,0.00,
3311,0.27,
3323,0.02,
3336,0.05,
3348,0.30,
3360,0.36,
3374,0.36,
3386,0.32,
3398,0.10,
3410,0.00,
3423,0.08,
3436,0.29,
3448,0.00,
3461,0.00,
3473,0.00,
3485,0.00,
3497,0.00,
3511,0.00,
3523,0.36,
3535,0.01,
3548,0.00,
3560,0.07,
3573,0.00,
3586,0.22,
3598,0.04,
3610,0.14,
3622,0.12,
3636,0.22,
3648,0.16,
3660,0.23,
3673,0.23,
3685,0.02,
3697,0.33,
3710,0.15,
3723,0.01,
3735,0.00,
3747,0.01,
3760,0.00,
3773,0.00,
3785,0.03,
3798,0.16,
3810,0.33,
3822,0.05,
3835,0.00,
3848,0.00,
3860,0.00,
3872,0.37,
3885,0.00,
