=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:40:38 =~=~=~=~=~=~=~=~=~=~=~=
5,
0.36,
78425,0.33,
78438,0.31,
78452,0.00,
78466,0.00,
78479,0.00,
78492,0.00,
78505,0.37,
785,0.00,
78398,0.11,
78411,0.36,
78425,0.33,
78438,0.31,
78452,0.00,
78466,0.00,
78479,0.00,
78492,0.00,
78505,0.37,
780,0.24,
0,0.03,
1,0.03,
1,0.34,
2,0.12,
2,0.00,
2,0.26,
3,0.21,
7,0.02,
16,0.14,
26,0.23,
36,0.32,
48,0.00,
58,0.18,
68,0.08,
78,0.17,
89,0.00,
99,0.34,
110,0.11,
121,0.28,
133,0.03,
144,0.35,
155,0.08,
166,0.09,
179,0.00,
190,0.00,
201,0.00,
212,0.00,
224,0.11,
235,0.35,
247,0.00,
259,0.04,
270,0.38,
281,0.00,
292,0.17,
304,0.01,
316,0.00,
327,0.10,
338,0.06,
350,0.37,
361,0.31,
373,0.00,
385,0.14,
396,0.02,
407,0.34,
418,0.21,
430,0.16,
442,0.17,
453,0.25,
464,0.36,
476,0.01,
487,0.10,
498,0.37,
510,0.00,
522,0.32,
533,0.00,
544,0.36,
556,0.11,
567,0.00,
579,0.00,
590,0.00,
602,0.00,
613,0.07,
624,0.18,
635,0.15,
648,0.00,
659,0.00,
670,0.00,
681,0.10,
693,0.00,
704,0.14,
716,0.03,
728,0.36,
739,0.34,
750,0.01,
761,0.10,
774,0.08,
785,0.29,
796,0.13,
807,0.07,
819,0.09,
830,0.16,
842,0.30,
854,0.15,
865,0.01,
876,0.26,
887,0.00,
899,0.19,
911,0.03,
922,0.25,
933,0.00,
945,0.00,
956,0.00,
967,0.00,
979,0.00,
991,0.08,
1002,0.22,
1014,0.12,
1027,0.09,
1040,0.01,
1052,0.08,
1064,0.00,
1077,0.31,
1089,0.31,
1101,0.03,
1115,0.24,
1127,0.11,
1139,0.12,
1152,0.29,
1164,0.02,
1177,0.17,
1189,0.00,
1202,0.28,
1214,0.30,
1226,0.22,
1240,0.21,
1252,0.26,
1264,0.34,
1276,0.17,
1289,0.00,
1301,0.10,
1314,0.00,
1327,0.00,
1339,0.00,
1351,0.15,
1363,0.00,
1377,0.00,
1389,0.02,
1401,0.01,
1414,0.08,
1426,0.21,
1439,0.37,
1452,0.11,
1464,0.14,
1476,0.29,
1488,0.12,
1501,0.02,
1514,0.04,
1526,0.21,
1539,0.11,
1551,0.12,
1563,0.02,
1576,0.38,
1589,0.26,
1601,0.20,
1613,0.20,
1626,0.24,
1639,0.33,
1651,0.18,
1664,0.00,
1676,0.10,
1688,0.00,
1700,0.00,
1714,0.00,
1726,0.00,
1738,0.00,
1751,0.35,
1763,0.22,
1776,0.00,
1788,0.00,
1801,0.05,
1813,0.00,
1825,0.01,
1839,0.00,
1851,0.17,
1863,0.00,
1875,0.00,
1888,0.00,
1900,0.09,
1913,0.37,
1926,0.04,
1938,0.08,
1950,0.34,
1963,0.22,
1976,0.17,
1988,0.18,
2000,0.23,
2013,0.34,
2025,0.16,
2038,0.00,
2051,0.12,
2063,0.00,
2075,0.00,
2087,0.00,
2100,0.01,
2113,0.03,
2125,0.00,
2138,0.28,
2150,0.00,
2162,0.02,
2176,0.00,
2188,0.25,
2200,0.10,
2212,0.23,
2225,0.00,
2238,0.36,
2250,0.31,
2263,0.37,
2275,0.00,
2287,0.17,
2299,0.02,
2313,0.33,
2325,0.17,
2337,0.07,
2350,0.04,
2362,0.05,
2375,0.11,
2387,0.21,
2400,0.35,
2412,0.06,
2424,0.00,
2438,0.00,
2450,0.00,
2462,0.00,
2475,0.10,
2487,0.00,
2499,0.24,
2512,0.22,
2525,0.38,
2537,0.34,
2549,0.16,
2562,0.39,
2575,0.14,
2587,0.20,
2599,0.11,
2612,0.22,
2624,0.11,
2637,0.15,
2650,0.33,
2662,0.00,
2674,0.26,
2686,0.01,
2699,0.05,
2712,0.28,
2724,0.37,
2737,0.36,
2749,0.31,
2761,0.09,
2775,0.00,
2787,0.09,
2799,0.29,
2811,0.00,
2824,0.00,
2837,0.00,
2849,0.00,
2862,0.00,
2874,0.37,
2886,0.00,
2898,0.08,
2912,0.28,
2924,0.16,
2936,0.15,
2949,0.31,
2961,0.27,
2974,0.01,
2987,0.03,
2999,0.17,
3011,0.02,
3023,0.02,
3037,0.31,
3049,0.01,
3061,0.14,
3074,0.30,
3086,0.19,
3098,0.15,
3111,0.16,
3124,0.21,
3136,0.32,
3148,0.15,
3161,0.00,
3174,0.00,
3186,0.00,
3198,0.00,
3211,0.00,
3223,0.00,
3236,0.01,
3249,0.32,
3261,0.00,
3273,0.02,
3286,0.07,
3298,0.09,
3311,0.08,
3323,0.28,
3336,0.00,
3348,0.23,
3360,0.05,
3374,0.03,
3386,0.14,
3398,0.39,
3410,0.01,
3423,0.30,
3436,0.19,
3448,0.04,
3461,0.00,
3473,0.00,
3485,0.00,
3497,0.03,
3511,0.13,
3523,0.28,
3535,0.15,
3548,0.00,
3560,0.00,
3573,0.00,
3586,0.00,
3598,0.00,
3610,0.36,
3622,0.23,
3636,0.00,
3648,0.09,
3660,0.32,
3673,0.23,
3685,0.00,
3697,0.28,
3710,0.02,
3723,0.12,
3735,0.00,
3747,0.00,
3760,0.00,
3773,0.15,
3785,0.13,
3798,0.14,
3810,0.00,
3822,0.17,
3835,0.37,
3848,0.32,
3860,0.34,
3872,0.35,
3885,0.11,
3897,0.00,
