=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:48:35 =~=~=~=~=~=~=~=~=~=~=~=
6,0.
34336,0.27,
34350,0.10,
34363,0.00,
34376,0.00,
34391,0.01,
34404,0.17,
34417,0.18,
34430,0.08,
34444,0.11,
34458,0.,
34336,0.27,
34350,0.10,
34363,0.00,
34376,0.00,
34391,0.01,
34404,0.17,
34417,0.18,
34430,0.08,
34444,0.11,
34458,0.0,0.38,
0,0.03,
1,0.02,
1,0.19,
2,0.00,
2,0.36,
2,0.03,
3,0.03,
7,0.22,
16,0.00,
26,0.23,
36,0.00,
48,0.00,
58,0.10,
68,0.36,
78,0.05,
89,0.02,
99,0.17,
110,0.23,
121,0.21,
133,0.07,
144,0.02,
155,0.03,
166,0.09,
179,0.22,
190,0.35,
201,0.00,
212,0.16,
224,0.15,
235,0.08,
247,0.20,
259,0.11,
270,0.00,
281,0.00,
292,0.00,
304,0.00,
316,0.00,
327,0.00,
338,0.03,
350,0.11,
361,0.38,
373,0.12,
385,0.33,
396,0.00,
407,0.11,
418,0.00,
430,0.25,
442,0.08,
453,0.08,
464,0.23,
476,0.06,
487,0.16,
498,0.00,
510,0.11,
522,0.31,
533,0.32,
544,0.17,
556,0.02,
567,0.03,
579,0.24,
590,0.09,
602,0.07,
613,0.36,
624,0.04,
635,0.26,
648,0.00,
659,0.00,
670,0.00,
681,0.00,
693,0.00,
704,0.04,
716,0.00,
728,0.00,
739,0.00,
750,0.23,
761,0.39,
774,0.10,
785,0.15,
796,0.18,
807,0.21,
819,0.14,
830,0.24,
842,0.15,
854,0.08,
865,0.04,
876,0.34,
887,0.23,
899,0.20,
911,0.23,
922,0.32,
933,0.13,
945,0.00,
956,0.18,
967,0.17,
979,0.07,
991,0.32,
1002,0.07,
1014,0.24,
1027,0.00,
1040,0.00,
1052,0.00,
1064,0.00,
1077,0.18,
1089,0.18,
1101,0.00,
1115,0.00,
1127,0.13,
1139,0.09,
1152,0.19,
1164,0.00,
1177,0.00,
1189,0.07,
1202,0.11,
1214,0.33,
1226,0.32,
1240,0.18,
1252,0.00,
1264,0.30,
1276,0.01,
1289,0.08,
1301,0.34,
1314,0.25,
1327,0.22,
1339,0.24,
1351,0.31,
1363,0.31,
1377,0.02,
1389,0.02,
1401,0.00,
1414,0.00,
1426,0.00,
1439,0.00,
1452,0.16,
1464,0.00,
1476,0.02,
1488,0.00,
1501,0.00,
1514,0.34,
1526,0.05,
1539,0.24,
1551,0.27,
1563,0.03,
1576,0.24,
1589,0.11,
1601,0.14,
1613,0.29,
1626,0.04,
1639,0.18,
1651,0.00,
1664,0.29,
1676,0.28,
1688,0.20,
1700,0.17,
1714,0.20,
1726,0.28,
1738,0.37,
1751,0.04,
1763,0.01,
1776,0.00,
1788,0.00,
1801,0.00,
1813,0.01,
1825,0.38,
1839,0.35,
1851,0.00,
1863,0.38,
1875,0.00,
1888,0.01,
1900,0.08,
1913,0.00,
1926,0.09,
1938,0.18,
1950,0.23,
1963,0.17,
1976,0.26,
1988,0.17,
2000,0.03,
2013,0.28,
2025,0.17,
2038,0.01,
2051,0.00,
2063,0.01,
2075,0.01,
2087,0.00,
2100,0.00,
2113,0.10,
2125,0.26,
2138,0.00,
2150,0.00,
2162,0.00,
2176,0.34,
2188,0.24,
2200,0.03,
2212,0.00,
2225,0.06,
2238,0.38,
2250,0.00,
2263,0.09,
2275,0.01,
2287,0.04,
2299,0.00,
2313,0.35,
2325,0.24,
2337,0.24,
2350,0.37,
2362,0.01,
2375,0.21,
2387,0.00,
2400,0.30,
2412,0.26,
2424,0.16,
2438,0.13,
2450,0.15,
2462,0.21,
2475,0.32,
2487,0.16,
2499,0.00,
2512,0.00,
2525,0.00,
2537,0.00,
2549,0.00,
2562,0.07,
2575,0.00,
2587,0.05,
2599,0.36,
2612,0.07,
2624,0.34,
2637,0.00,
2650,0.29,
2662,0.08,
2674,0.05,
2686,0.04,
2699,0.15,
2712,0.08,
2724,0.00,
2737,0.24,
2749,0.00,
2761,0.36,
2775,0.16,
2787,0.05,
2799,0.01,
2811,0.00,
2824,0.02,
2837,0.09,
2849,0.21,
2862,0.37,
2874,0.05,
2886,0.00,
2898,0.00,
2912,0.00,
2924,0.00,
2936,0.00,
2949,0.00,
2961,0.00,
2974,0.06,
2987,0.15,
2999,0.00,
3011,0.03,
3023,0.05,
3037,0.00,
3049,0.03,
3061,0.37,
3074,0.13,
3086,0.06,
3098,0.13,
3111,0.33,
3124,0.00,
3136,0.28,
3148,0.03,
3161,0.02,
3174,0.20,
3186,0.36,
3198,0.37,
3211,0.25,
3223,0.07,
3236,0.00,
3249,0.09,
3261,0.00,
3273,0.00,
3286,0.00,
3298,0.02,
3311,0.08,
3323,0.05,
3336,0.29,
3348,0.31,
3360,0.23,
3374,0.00,
3386,0.07,
3398,0.00,
3410,0.00,
3423,0.05,
3436,0.11,
3448,0.36,
3461,0.37,
3473,0.07,
3485,0.03,
3497,0.38,
3511,0.08,
3523,0.00,
3535,0.19,
3548,0.37,
3560,0.34,
3573,0.36,
3586,0.24,
3598,0.04,
3610,0.00,
3622,0.00,
3636,0.00,
3648,0.00,
3660,0.00,
3673,0.33,
3685,0.00,
3697,0.00,
3710,0.00,
3723,0.28,
3735,0.19,
3747,0.32,
3760,0.00,
3773,0.27,
3785,0.06,
3798,0.07,
3810,0.00,
3822,0.09,
3835,0.00,
3848,0.02,
3860,0.31,
3872,0.00,
3885,0.26,
3897,0.23,
3910,0.11,
3922,0.06,
3935,0.05,
3947,0.08,
3959,0.17,
3973,0.29,
3985,0.20,
3997,0.00,
4009,0.00,
4022,0.00,
4035,0.00,
4047,0.00,
4060,0.00,
4072,0.00,
4084,0.00,
4097,0.00,
4110,0.09,
4122,0.00,
4134,0.28,
4147,0.20,
4159,0.00,
4172,0.33,
4185,0.29,
4197,0.31,
4209,0.16,
4221,0.01,
4235,0.35,
4247,0.06,
4259,0.00,
4272,0.21,
4284,0.36,
4296,0.34,
4310,0.37,
4322,0.21,
4334,0.02,
4346,0.00,
4359,0.00,
4372,0.00,
4384,0.00,
4397,0.00,
4409,0.00,
4421,0.08,
4434,0.04,
4447,0.00,
4459,0.00,
4471,0.22,
4484,0.30,
4496,0.00,
4509,0.00,
4521,0.13,
4534,0.01,
4546,0.38,
4558,0.37,
4572,0.11,
4584,0.01,
4596,0.32,
4609,0.03,
4621,0.07,
4634,0.37,
4646,0.28,
4659,0.24,
4671,0.25,
4683,0.32,
4696,0.31,
4709,0.04,
4721,0.02,
4733,0.00,
4746,0.00,
4758,0.00,
4771,0.00,
4784,0.08,
4796,0.00,
4808,0.05,
4820,0.00,
4834,0.13,
4846,0.02,
4858,0.07,
4871,0.08,
4883,0.24,
4895,0.00,
4909,0.25,
4921,0.06,
4933,0.05,
4945,0.15,
4958,0.39,
4971,0.00,
4983,0.35,
4996,0.15,
5008,0.01,
5020,0.00,
5033,0.01,
5046,0.01,
5058,0.00,
5070,0.03,
5083,0.16,
5095,0.33,
5108,0.00,
5121,0.00,
5133,0.00,
5145,0.00,
5157,0.05,
5171,0.00,
5183,0.07,
5195,0.00,
5208,0.06,
5220,0.07,
5233,0.12,
5245,0.02,
5258,0.10,
5270,0.00,
5282,0.31,
5295,0.12,
5308,0.11,
5320,0.22,
5332,0.21,
5345,0.04,
5357,0.16,
5370,0.22,
5383,0.06,
5395,0.00,
5407,0.00,
5420,0.00,
5433,0.01,
5445,0.09,
5457,0.23,
5470,0.34,
5482,0.00,
5494,0.00,
5508,0.00,
5520,0.00,
5532,0.00,
5544,0.00,
5557,0.00,
5570,0.24,
5582,0.36,
5595,0.22,
5607,0.08,
5619,0.30,
5633,0.38,
5645,0.00,
5657,0.26,
5669,0.34,
5682,0.37,
5694,0.00,
5707,0.11,
5720,0.11,
5732,0.22,
5744,0.04,
5756,0.00,
5770,0.01,
5782,0.01,
5794,0.00,
5807,0.00,
5819,0.08,
5832,0.22,
5844,0.00,
5857,0.00,
5869,0.00,
5881,0.00,
5894,0.00,
5907,0.00,
5919,0.00,
5932,0.00,
5944,0.15,
5956,0.11,
5969,0.24,
5982,0.00,
5994,0.00,
6006,0.16,
6019,0.00,
6032,0.19,
6044,0.17,
6056,0.01,
6069,0.09,
6081,0.20,
6093,0.14,
6107,0.00,
6119,0.11,
6131,0.31,
6144,0.38,
6156,0.34,
6169,0.17,
6181,0.02,
6194,0.01,
6206,0.17,
6218,0.00,
6232,0.00,
6244,0.00,
6256,0.30,
6268,0.12,
6281,0.00,
6293,0.05,
6306,0.00,
6319,0.37,
6331,0.00,
6343,0.00,
6355,0.30,
6369,0.21,
6381,0.38,
6393,0.02,
6406,0.00,
6418,0.06,
6431,0.00,
6444,0.10,
6456,0.27,
6468,0.10,
6480,0.00,
6493,0.26,
6506,0.32,
6518,0.28,
6531,0.29,
6543,0.34,
6555,0.24,
6568,0.01,
6581,0.02,
6593,0.00,
6605,0.00,
6618,0.00,
6631,0.00,
6643,0.00,
6656,0.24,
6668,0.20,
6680,0.00,
6692,0.00,
6706,0.00,
6718,0.38,
6730,0.09,
6743,0.17,
6755,0.17,
6768,0.32,
6780,0.08,
6793,0.00,
6805,0.00,
6817,0.07,
6831,0.32,
6843,0.00,
6855,0.37,
6867,0.15,
6880,0.01,
6892,0.00,
6905,0.00,
6918,0.00,
6930,0.00,
6942,0.08,
6955,0.22,
6968,0.34,
6980,0.00,
6992,0.00,
7005,0.00,
7017,0.00,
7030,0.00,
7043,0.00,
7055,0.19,
7067,0.00,
7079,0.07,
7092,0.02,
7105,0.37,
7117,0.23,
7130,0.37,
7142,0.00,
7154,0.10,
7168,0.20,
7180,0.07,
7192,0.01,
7204,0.29,
7217,0.00,
7230,0.26,
7242,0.25,
7255,0.14,
7267,0.09,
7279,0.08,
7291,0.13,
7305,0.22,
7317,0.35,
7329,0.10,
7342,0.00,
7354,0.00,
7367,0.00,
7379,0.25,
7392,0.01,
7404,0.32,
7416,0.38,
7430,0.08,
7442,0.07,
7454,0.27,
7467,0.17,
7479,0.21,
7491,0.25,
7504,0.07,
7517,0.22,
7529,0.10,
7541,0.13,
7554,0.30,
7567,0.01,
7579,0.19,
7591,0.00,
7604,0.27,
7616,0.29,
7629,0.21,
7642,0.19,
7654,0.22,
7666,0.29,
7678,0.34,
7691,0.04,
7704,0.02,
7716,0.00,
7729,0.00,
7741,0.00,
7753,0.05,
7767,0.27,
7779,0.00,
7791,0.00,
7803,0.21,
7816,0.32,
7829,0.11,
7841,0.36,
7854,0.13,
7866,0.21,
7878,0.10,
7890,0.22,
7904,0.12,
7916,0.17,
7928,0.34,
7941,0.00,
7953,0.25,
7966,0.00,
7979,0.09,
7991,0.38,
8003,0.31,
8015,0.29,
8029,0.32,
8041,0.35,
8053,0.09,
8066,0.00,
8078,0.00,
8090,0.00,
8103,0.00,
8116,0.00,
8128,0.01,
8140,0.38,
8153,0.04,
8166,0.00,
8178,0.00,
8190,0.35,
8203,0.20,
8215,0.12,
8228,0.11,
8241,0.33,
8253,0.01,
8265,0.00,
8278,0.01,
8290,0.00,
8303,0.22,
8315,0.03,
8328,0.26,
8340,0.04,
8352,0.00,
8366,0.05,
8378,0.11,
8390,0.08,
8402,0.01,
8415,0.00,
8428,0.09,
8440,0.26,
8453,0.00,
8465,0.00,
8477,0.00,
8489,0.00,
8503,0.05,
8515,0.00,
8527,0.00,
8540,0.00,
8552,0.00,
8565,0.37,
8578,0.03,
8590,0.26,
8602,0.29,
8614,0.02,
8628,0.24,
8640,0.11,
8652,0.13,
8665,0.28,
8677,0.05,
8689,0.16,
8702,0.00,
8715,0.34,
8727,0.25,
8739,0.17,
8752,0.14,
8765,0.17,
8777,0.24,
8790,0.34,
8802,0.11,
8814,0.00,
8827,0.00,
8840,0.00,
8852,0.00,
8864,0.28,
8877,0.00,
8889,0.00,
8902,0.00,
8914,0.29,
8927,0.00,
8939,0.00,
8951,0.22,
8965,0.14,
8977,0.32,
8989,0.00,
9001,0.07,
9014,0.17,
9027,0.01,
9039,0.04,
9052,0.36,
9064,0.04,
9076,0.04,
