=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:50:08 =~=~=~=~=~=~=~=~=~=~=~=
0,
00,
10808453,0.00,
107967,0.26,
107981,0.00,
107996,0.28,
108011,0.02,
108025,0.00,
108040,0.00,
108054,0.00,
108069,0.00,
10808453,0.00,
107967,0.26,
107981,0.00,
107996,0.28,
108011,0.02,
108025,0.00,
108040,0.00,
108054,0.00,
108069,0.00,
1080840,0.00,
0,0.24,
1,0.21,
1,0.02,
2,0.03,
2,0.33,
2,0.11,
3,0.00,
7,0.30,
16,0.00,
26,0.07,
36,0.27,
48,0.02,
58,0.12,
68,0.13,
78,0.17,
89,0.00,
99,0.37,
110,0.15,
121,0.17,
133,0.08,
144,0.23,
155,0.12,
166,0.00,
179,0.00,
190,0.00,
201,0.00,
212,0.05,
224,0.00,
235,0.00,
247,0.04,
259,0.10,
270,0.00,
281,0.00,
292,0.27,
304,0.19,
316,0.34,
327,0.06,
338,0.00,
350,0.00,
361,0.13,
373,0.20,
385,0.11,
396,0.00,
407,0.15,
418,0.32,
430,0.31,
442,0.14,
453,0.01,
464,0.05,
476,0.26,
487,0.05,
498,0.10,
510,0.28,
522,0.07,
533,0.18,
544,0.14,
556,0.00,
567,0.00,
579,0.00,
590,0.00,
602,0.00,
613,0.31,
624,0.00,
635,0.05,
648,0.29,
659,0.20,
670,0.02,
681,0.19,
693,0.00,
704,0.27,
716,0.11,
728,0.13,
739,0.30,
750,0.00,
761,0.24,
774,0.02,
785,0.01,
796,0.07,
807,0.08,
819,0.02,
830,0.00,
842,0.13,
854,0.34,
865,0.00,
876,0.17,
887,0.11,
899,0.12,
911,0.06,
922,0.21,
933,0.00,
945,0.00,
956,0.00,
967,0.00,
979,0.13,
991,0.00,
1002,0.16,
1014,0.10,
1027,0.00,
1040,0.13,
1052,0.02,
1064,0.23,
1077,0.21,
1089,0.25,
1101,0.09,
1115,0.00,
1127,0.00,
1139,0.06,
1152,0.30,
1164,0.00,
1177,0.33,
1189,0.10,
1202,0.00,
1214,0.00,
1226,0.03,
1240,0.03,
1252,0.00,
1264,0.01,
1276,0.12,
1289,0.30,
1301,0.00,
1314,0.00,
1327,0.00,
1339,0.00,
1351,0.00,
1363,0.00,
1377,0.18,
1389,0.31,
1401,0.29,
1414,0.00,
1426,0.05,
1439,0.05,
1452,0.09,
1464,0.00,
1476,0.34,
1488,0.23,
1501,0.23,
1514,0.37,
1526,0.00,
1539,0.21,
1551,0.00,
1563,0.34,
1576,0.25,
1589,0.15,
1601,0.11,
1613,0.13,
1626,0.19,
1639,0.29,
1651,0.28,
1664,0.01,
1676,0.00,
1688,0.00,
1700,0.00,
1714,0.00,
1726,0.00,
1738,0.05,
1751,0.37,
1763,0.00,
1776,0.24,
1788,0.00,
1801,0.25,
1813,0.24,
1825,0.00,
1839,0.05,
1851,0.00,
1863,0.28,
1875,0.07,
1888,0.03,
1900,0.12,
1913,0.34,
1926,0.00,
1938,0.32,
1950,0.07,
1963,0.00,
1976,0.10,
1988,0.20,
2000,0.21,
