=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:10:13 =~=~=~=~=~=~=~=~=~=~=~=
.00,3
526319,0.01,
526334,0.01,
526349,0.20,
5
526232,0.02,
526246,0.09,
526261,0.36,
526276,0.05,
526290,0.00,
526305,0.02,
526319,0.01,
526334,0.01,
526349,0.20,
52526232,0.02,
526246,0.09,
526261,0.36,
526276,0.05,
526290,0.00,
526305,0.02,
526319,0.01,
526334,0.01,
526349,0.20,
520,0.36,
0,0.00,
1,0.00,
1,0.21,
1,0.00,
2,0.00,
2,0.12,
3,0.00,
7,0.00,
16,0.19,
26,0.00,
36,0.00,
48,0.31,
58,0.11,
68,0.23,
78,0.35,
89,0.00,
99,0.03,
110,0.00,
121,0.30,
133,0.25,
144,0.01,
155,0.12,
166,0.04,
179,0.28,
190,0.13,
201,0.07,
212,0.07,
224,0.13,
235,0.25,
247,0.21,
259,0.00,
270,0.19,
281,0.11,
292,0.11,
304,0.13,
316,0.15,
327,0.02,
338,0.00,
350,0.00,
361,0.00,
373,0.00,
385,0.00,
396,0.29,
407,0.00,
418,0.30,
430,0.13,
442,0.01,
453,0.06,
464,0.00,
476,0.38,
487,0.29,
498,0.00,
510,0.12,
522,0.32,
533,0.06,
544,0.01,
556,0.35,
567,0.07,
579,0.00,
590,0.05,
602,0.10,
613,0.04,
624,0.00,
635,0.05,
648,0.25,
659,0.11,
670,0.06,
681,0.37,
693,0.02,
704,0.35,
716,0.09,
728,0.00,
739,0.00,
750,0.00,
761,0.00,
774,0.00,
785,0.10,
796,0.00,
807,0.00,
819,0.08,
830,0.17,
842,0.36,
854,0.10,
865,0.18,
876,0.06,
887,0.27,
899,0.22,
911,0.34,
922,0.00,
933,0.20,
945,0.00,
956,0.13,
967,0.38,
979,0.37,
991,0.33,
1002,0.09,
1014,0.30,
1027,0.38,
1040,0.35,
1052,0.18,
1064,0.02,
1077,0.01,
1089,0.16,
1101,0.00,
1115,0.00,
1127,0.00,
1139,0.00,
1152,0.00,
1164,0.00,
1177,0.00,
1189,0.35,
1202,0.01,
1214,0.28,
1226,0.24,
1240,0.00,
1252,0.11,
1264,0.00,
1276,0.22,
1289,0.02,
1301,0.00,
1314,0.06,
1327,0.28,
1339,0.00,
1351,0.26,
1363,0.03,
1377,0.02,
1389,0.16,
1401,0.28,
1414,0.26,
1426,0.13,
1439,0.01,
1452,0.01,
1464,0.16,
1476,0.36,
1488,0.00,
1501,0.00,
1514,0.00,
1526,0.00,
1539,0.12,
1551,0.29,
1563,0.00,
1576,0.00,
1589,0.19,
1601,0.28,
1613,0.09,
1626,0.34,
1639,0.12,
1651,0.20,
1664,0.10,
1676,0.22,
1688,0.13,
1700,0.19,
1714,0.36,
1726,0.00,
1738,0.29,
1751,0.03,
1763,0.03,
1776,0.26,
1788,0.37,
1801,0.36,
1813,0.35,
1825,0.13,
1839,0.00,
1851,0.04,
1863,0.23,
1875,0.00,
1888,0.00,
1900,0.00,
1913,0.00,
1926,0.00,
1938,0.00,
1950,0.00,
1963,0.11,
1976,0.14,
1988,0.00,
2000,0.10,
2013,0.00,
2025,0.00,
2038,0.19,
2051,0.00,
2063,0.02,
2075,0.02,
2087,0.02,
2100,0.26,
2113,0.00,
2125,0.35,
2138,0.15,
2150,0.03,
2162,0.00,
2176,0.00,
2188,0.00,
2200,0.04,
2212,0.16,
2225,0.31,
2238,0.11,
2250,0.00,
2263,0.00,
2275,0.00,
2287,0.00,
2299,0.26,
2313,0.16,
2325,0.24,
2337,0.26,
2350,0.20,
2362,0.00,
2375,0.05,
2387,0.00,
2400,0.00,
2412,0.05,
2424,0.11,
2438,0.36,
2450,0.38,
2462,0.05,
2475,0.04,
2487,0.36,
2499,0.11,
2512,0.00,
2525,0.11,
2537,0.32,
2549,0.38,
2562,0.30,
2575,0.11,
2587,0.00,
2599,0.04,
2612,0.21,
2624,0.00,
2637,0.00,
2650,0.00,
2662,0.00,
2674,0.24,
2686,0.00,
2699,0.00,
2712,0.07,
2724,0.14,
2737,0.00,
2749,0.15,
2761,0.00,
2775,0.01,
2787,0.27,
2799,0.01,
2811,0.00,
2824,0.00,
2837,0.11,
2849,0.38,
2862,0.03,
2874,0.11,
2886,0.28,
2898,0.15,
2912,0.09,
2924,0.08,
2936,0.11,
2949,0.19,
2961,0.31,
2974,0.15,
2987,0.00,
2999,0.00,
3011,0.00,
3023,0.00,
3037,0.03,
3049,0.28,
3061,0.00,
3074,0.01,
3086,0.25,
3098,0.36,
3111,0.17,
3124,0.30,
3136,0.21,
3148,0.29,
3161,0.01,
3174,0.32,
3186,0.22,
3198,0.27,
3211,0.21,
3223,0.01,
3236,0.37,
3249,0.10,
3261,0.00,
3273,0.08,
3286,0.20,
3298,0.24,
3311,0.14,
3323,0.02,
3336,0.00,
3348,0.13,
3360,0.32,
3374,0.00,
3386,0.00,
3398,0.00,
3410,0.00,
3423,0.00,
3436,0.02,
3448,0.00,
3461,0.00,
3473,0.05,
3485,0.00,
3497,0.11,
3511,0.00,
3523,0.00,
3535,0.28,
3548,0.02,
3560,0.00,
3573,0.00,
3586,0.13,
3598,0.27,
3610,0.06,
3622,0.07,
3636,0.32,
3648,0.20,
3660,0.13,
3673,0.12,
3685,0.16,
3697,0.24,
3710,0.37,
3723,0.08,
3735,0.01,
3747,0.00,
3760,0.00,
3773,0.00,
3785,0.39,
3798,0.00,
3810,0.00,
3822,0.00,
3835,0.00,
3848,0.00,
3860,0.37,
3872,0.05,
3885,0.25,
3897,0.27,
3910,0.07,
3922,0.21,
3935,0.08,
3947,0.10,
3959,0.25,
3973,0.05,
3985,0.13,
3997,0.01,
4009,0.37,
4022,0.23,
4035,0.16,
4047,0.13,
4060,0.16,
4072,0.24,
4084,0.35,
4097,0.11,
4110,0.00,
4122,0.00,
4134,0.00,
4147,0.00,
4159,0.00,
4172,0.30,
4185,0.32,
4197,0.11,
4209,0.13,
4221,0.06,
4235,0.00,
4247,0.00,
4259,0.24,
4272,0.24,
4284,0.00,
4296,0.36,
4310,0.22,
4322,0.23,
4334,0.37,
4346,0.00,
4359,0.24,
4372,0.00,
4384,0.12,
4397,0.34,
4409,0.25,
4421,0.23,
4434,0.25,
4447,0.33,
4459,0.21,
4471,0.00,
4484,0.06,
4496,0.00,
4509,0.00,
4521,0.00,
4534,0.00,
4546,0.33,
4558,0.14,
4572,0.00,
4584,0.00,
4596,0.24,
4609,0.28,
4621,0.00,
4634,0.02,
4646,0.12,
4659,0.19,
4671,0.00,
4683,0.32,
4696,0.17,
4709,0.16,
4721,0.30,
4733,0.05,
4746,0.15,
4758,0.00,
4771,0.35,
4784,0.21,
4796,0.12,
4808,0.10,
4820,0.11,
4834,0.18,
4846,0.29,
4858,0.25,
4871,0.00,
4883,0.00,
4895,0.00,
4909,0.00,
4921,0.00,
4933,0.22,
4945,0.24,
4958,0.26,
4971,0.00,
4983,0.24,
4996,0.11,
5008,0.25,
5020,0.00,
5033,0.00,
5046,0.00,
5058,0.33,
5070,0.11,
5083,0.05,
5095,0.13,
5108,0.33,
5121,0.00,
5133,0.31,
5145,0.06,
5157,0.00,
