=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 12:08:35 =~=~=~=~=~=~=~=~=~=~=~=
,
11,
397973,1.43,
397987,1.54,
398003,2.35,
398017,0.48,
398031,1.35,
398046,0.52,
398060,2.11,
39397944,0.45,
397959,2.11,
397973,1.43,
397987,1.54,
398003,2.35,
398017,0.48,
398031,1.35,
398046,0.52,
398060,2.11,
39397944,0.45,
397959,2.11,
397973,1.43,
397987,1.54,
398003,2.35,
398017,0.48,
398031,1.35,
398046,0.52,
398060,2.11,
390,1.23,
0,0.38,
1,0.94,
1,1.75,
2,0.65,
2,0.52,
2,2.28,
3,1.09,
7,2.39,
16,0.73,
26,1.71,
36,2.28,
48,2.26,
58,2.40,
68,1.28,
78,0.63,
89,0.42,
99,1.01,
110,2.05,
121,1.76,
133,1.63,
144,1.63,
155,1.77,
166,0.00,
179,0.00,
190,0.00,
201,0.01,
212,0.02,
224,0.02,
235,0.01,
247,0.01,
259,0.01,
270,0.66,
281,1.76,
292,0.60,
304,0.14,
316,0.41,
327,0.38,
338,0.29,
350,1.14,
361,2.05,
373,0.60,
385,0.94,
396,0.44,
407,0.98,
418,1.16,
430,0.68,
442,0.38,
453,1.43,
464,0.70,
476,1.23,
487,0.46,
498,2.29,
510,1.16,
522,0.51,
533,0.45,
544,0.79,
556,1.21,
567,1.61,
579,1.72,
590,1.47,
602,1.06,
613,0.02,
624,0.01,
635,0.02,
648,0.02,
659,0.01,
670,0.04,
681,1.49,
693,0.46,
704,0.54,
716,1.00,
728,0.15,
739,0.74,
750,0.22,
761,0.89,
774,0.39,
785,0.49,
796,0.39,
807,2.23,
819,0.81,
830,0.37,
842,0.37,
854,0.67,
865,1.57,
876,0.89,
887,0.77,
899,1.10,
911,1.22,
922,0.38,
933,1.16,
945,1.94,
956,1.28,
967,0.87,
979,0.67,
991,0.55,
1002,0.53,
1014,0.95,
1027,0.01,
1040,0.02,
1052,0.01,
1064,0.03,
1077,0.02,
1089,0.04,
1101,0.76,
1115,1.51,
1127,0.77,
1139,2.07,
1152,1.70,
1164,0.59,
1177,2.06,
1189,1.98,
1202,0.61,
1214,1.77,
1226,1.46,
1240,2.23,
1252,0.40,
1264,1.91,
1276,0.77,
1289,0.40,
1301,0.37,
1314,0.48,
1327,0.97,
1339,1.95,
1351,0.67,
1363,0.88,
1377,1.55,
1389,0.76,
1401,1.05,
1414,1.30,
1426,0.40,
1439,1.84,
1452,0.02,
1464,0.01,
1476,0.02,
1488,0.01,
1501,0.02,
1514,0.01,
1526,1.17,
1539,0.04,
1551,0.16,
1563,0.39,
1576,1.50,
1589,1.42,
1601,0.29,
1613,0.27,
1626,1.59,
1639,0.59,
1651,0.64,
1664,1.59,
1676,0.56,
1688,1.77,
1700,0.82,
1714,0.51,
1726,0.52,
1738,0.82,
1751,1.53,
1763,1.51,
1776,0.41,
1788,1.67,
1801,0.50,
1813,1.64,
1825,0.40,
1839,2.40,
1851,1.02,
1863,0.00,
1875,0.02,
1888,0.04,
1900,0.01,
1913,0.02,
1926,0.01,
1938,0.00,
1950,1.32,
1963,0.72,
1976,0.30,
1988,1.42,
2000,0.77,
2013,2.17,
2025,1.27,
2038,2.37,
2051,0.62,
2063,0.34,
2075,0.69,
2087,2.07,
2100,0.37,
2113,1.00,
2125,2.17,
2138,1.92,
2150,2.15,
2162,1.29,
2176,0.42,
2188,0.94,
2200,2.26,
2212,0.46,
2225,2.17,
2238,0.55,
2250,1.38,
2263,1.25,
2275,0.41,
2287,0.01,
2299,0.03,
2313,0.01,
2325,0.02,
2337,0.06,
2350,0.02,
2362,0.37,
2375,2.19,
2387,1.37,
2400,1.10,
2412,0.31,
2424,0.35,
2438,1.88,
2450,2.13,
2462,0.32,
2475,1.01,
2487,0.95,
2499,0.32,
2512,1.58,
2525,0.35,
2537,0.79,
2549,1.54,
2562,1.54,
2575,0.84,
2587,0.38,
2599,0.94,
2612,2.33,
2624,0.39,
2637,1.81,
2650,0.40,
2662,2.19,
2674,0.73,
2686,0.72,
2699,0.00,
2712,0.02,
2724,0.02,
2737,0.02,
2749,0.02,
2761,0.01,
2775,0.05,
2787,0.01,
2799,0.28,
2811,0.10,
2824,0.24,
2837,1.83,
2849,0.67,
2862,0.39,
2874,0.50,
2886,0.26,
2898,0.79,
2912,0.59,
2924,1.06,
2936,0.58,
2949,0.68,
2961,1.17,
2974,1.46,
2987,0.80,
2999,0.64,
