=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 12:11:05 =~=~=~=~=~=~=~=~=~=~=~=,
,
135.21,
51614,1.9
51629,1.07
51642,1.07
51655,0.25
51668,0.4
547,0.01
51561,0.03
51574,0.01
51588,0.03
51601,0.21
51614,1.9
51629,1.07
51642,1.07
51655,0.25
51668,0.4
547,0.01
51561,0.03
51574,0.01
51588,0.03
51601,0.21
51614,1.9
51629,1.07
51642,1.07
51655,0.25
51668,0.4
0,0.09
0,2.05
1,0.12
1,1.88
2,0.14
2,1.72
2,0.15
3,1.68
7,0.17
16,2.33
26,0.16
36,0.2
48,2.24
58,1.81
68,1.29
78,0.48
89,0.56
99,0.94
110,0.69
121,2.18
133,1.75
144,1.97
155,1.47
166,0.38
179,1.25
190,0.76
201,1.28
212,0.41
224,2.06
235,1.4
247,0.71
259,0.4
270,0.6
281,0.85
292,1.07
304,1.17
316,1.1
327,0
338,0.01
350,0.01
361,0.01
373,0.01
385,0.04
396,0.02
407,0.02
418,1.21
430,0.61
442,0.33
453,1.49
464,0.99
476,0.95
487,1.63
498,0.25
510,0.85
522,0.73
533,0.35
544,2.38
556,1.07
567,0.61
579,0.66
590,1.17
602,2.23
613,0.47
624,1.36
635,0.54
648,1.86
659,0.63
670,0.6
681,2.02
693,1.77
704,1.25
716,0.92
728,0.74
739,0.68
750,0.69
761,0.01
774,0
785,0.05
796,0.04
807,0.01
819,0.03
830,0.01
842,0.03
854,0.46
865,0.71
876,0.38
887,1.36
899,0.49
911,1.61
922,0.29
933,0.27
945,0.87
956,1.13
967,1.32
979,0.7
991,0.59
1002,0.94
1014,0.39
1027,0.38
1040,0.37
1052,0.51
1064,1.15
1077,2.31
1089,0.43
1101,1.3
1115,0.77
1127,1.23
1139,0.58
1152,1.86
1164,0.59
1177,0.02
1189,0.03
1202,0
1214,0.04
1226,0.01
1240,0.06
1252,0
1264,0.03
1276,0.17
1289,1.55
1301,0.21
1314,1.03
1327,0.33
1339,1.08
1351,0.43
1363,1.66
1377,1
1389,1.38
1401,1.42
1414,0.63
1426,0.71
1439,2.36
1452,1.95
1464,2.02
1476,2.09
1488,0.68
1501,0.54
1514,1.74
1526,0.62
1539,1.21
1551,0.7
1563,1.48
1576,0.41
1589,2.37
1601,0.01
1613,0
1626,0.02
1639,0.01
1651,0.03
1664,0.04
1676,0.01
1688,1.45
1700,0.24
1714,1.34
1726,0.24
1738,0.16
1751,0.77
1763,0.26
1776,0.33
1788,0.69
1801,0.64
1813,1.13
1825,0.61
1839,0.65
1851,1.28
1863,1.37
1875,0.68
1888,0.5
1900,0.6
1913,1.02
1926,1.87
1938,0.89
1950,0.6
1963,2.13
1976,0.41
1988,2.09
2000,0.54
2013,1.35
2025,1.29
2038,0.01
2051,0.02
2063,0.02
2075,0.02
2087,0.05
2100,0.01
2113,1.89
2125,1.05
2138,0.24
2150,1.28
2162,0.73
2176,2.01
2188,1.01
2200,1.98
2212,0.32
2225,0.42
2238,0.31
2250,1.19
2263,0.68
2275,1.79
2287,0.95
2299,0.67
2313,0.73
2325,1.13
2337,1.94
2350,0.86
2362,0.58
2375,2.06
2387,0.4
2400,1.93
2412,0.47
2424,1.84
2438,1.1
2450,0
2462,0.01
2475,0.01
2487,0.03
2499,0.02
2512,0.05
2525,1.9
2537,0.41
2549,1.17
2562,0.42
2575,0.22
2587,2.32
2599,0.51
2612,1.74
2624,0.53
2637,1.52
2650,0.93
2662,1.34
2674,1.42
2686,0.64
2699,0.68
2712,2.35
2724,2.02
2737,2.11
2749,1.76
2761,0.62
2775,0.6
2787,1.83
2799,0.57
2811,1.3
2824,0.64
2837,1.55
2849,0.41
2862,2.15
2874,0.01
2886,0.02
2898,0.02
2912,0.01
2924,0.01
2936,0.01
2949,0.03
2961,0.45
2974,0.45
2987,0.54
2999,0.46
3011,1.16
3023,0.36
3037,0.27
3049,1.45
3061,0.32
3074,0.3
3086,0.6
3098,2.09
3111,0.42
3124,0.84
3136,2.41
3148,2.16
3161,2.39
3174,1.02
3186,0.39
3198,1.02
3211,2.18
3223,0.45
3236,2.05
3249,0.45
3261,2.34
3273,0.88
3286,0
3298,0.02
3311,0.03
3323,0.01
3336,0.03
3348,0.04
3360,0.05
3374,0.03
3386,0.52
3398,0.19
3410,0.8
3423,1.9
3436,1.08
3448,1.14
3461,2.18
3473,0.61
3485,1.61
3497,1.16
3511,1.74
3523,0.74
3535,1.15
3548,0.36
3560,0.79
3573,1.15
3586,0.96
3598,0.56
3610,0.5
3622,1.41
3636,1.13
3648,0.63
3660,2.4
3673,0.59
3685,1.54
3697,1.08
3710,0.47
3723,0.02
3735,0.01
3747,0.03
3760,0.01
3773,0.01
3785,0.01
3798,0.2
3810,0.06
3822,0.76
3835,0.65
3848,0.35
3860,0.79
3872,0.37
3885,0.25
3897,1.91
3910,0.95
3922,1.1
3935,2.21
3947,0.33
3959,2.37
3973,1.33
3985,0.88
3997,0.84
4009,1.16
4022,1.87
4035,1.07
4047,0.45
4060,1.71
4072,0.56
4084,1.45
4097,0.46
4110,1.94
4122,0.6
4134,0.01
4147,0.02
4159,0.04
4172,0.01
4185,0.01
4197,0.05
4209,0.71
4221,1.08
4235,2.06
4247,1.19
4259,0.73
4272,0.23
4284,1.15
4296,0.62
4310,1.78
4322,0.33
4334,0.35
4346,0.43
4359,1.65
4372,0.4
4384,2.22
4397,1.61
4409,1.31
4421,1.44
4434,1.96
4447,1.22
4459,0.39
4471,1.3
4484,0.97
4496,0.87
4509,1.1
4521,1.11
4534,0.56
4546,2.01
4558,0
4572,0.01
4584,0.01
4596,0.01
4609,0.01
4621,1.37
4634,0.66
4646,2.06
4659,0.81
4671,0.42
4683,0.35
4696,0.81
4709,0.36
