=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 13:36:40 =~=~=~=~=~=~=~=~=~=~=~=
27590.78,
43435,1.03,
43449,1.71,
43462,0.16,
43475,0.52,
43489,1.23,
43502,2.00,
43516,0.53,
43530,0.74,
430,1.24,
0,1.09,
1,0.32,
1,2.39,
2,0.75,
2,0.45,
2,2.01,
3,0.48,
7,0.44,
16,0.45,
26,2.19,
36,1.53,
48,1.73,
58,2.06,
68,0.41,
78,1.44,
89,0.44,
99,2.24,
110,1.09,
121,1.52,
133,0.62,
144,1.40,
155,1.15,
166,0.38,
179,1.31,
190,1.85,
201,1.16,
212,0.72,
224,0.50,
235,0.41,
247,0.41,
259,0.41,
270,0.01,
281,0.00,
292,0.01,
304,0.01,
316,0.03,
327,0.01,
338,0.08,
350,0.67,
361,0.08,
373,0.84,
385,2.30,
396,1.45,
407,1.02,
418,1.76,
430,0.26,
442,0.45,
453,0.29,
464,1.63,
476,0.31,
487,0.75,
498,1.17,
510,0.88,
522,0.44,
533,0.82,
544,2.33,
556,0.42,
567,2.30,
579,0.75,
590,0.64,
602,2.24,
613,1.29,
624,0.69,
635,0.42,
648,0.47,
659,0.67,
670,0.79,
681,0.82,
693,0.02,
704,0.04,
716,0.01,
728,0.01,
739,0.02,
750,0.01,
761,0.06,
774,0.14,
785,0.92,
796,1.22,
807,2.02,
819,1.76,
830,0.20,
842,0.37,
854,1.91,
865,1.72,
876,2.28,
887,0.42,
899,1.87,
911,0.81,
922,0.50,
933,0.61,
945,1.15,
956,2.26,
967,0.45,
979,1.46,
991,0.53,
1002,1.90,
1014,0.99,
1027,0.50,
1040,1.81,
1052,0.48,
1064,1.54,
1077,0.43,
1089,2.00,
1101,0.61,
1115,0.00,
1127,0.02,
1139,0.01,
1152,0.03,
1164,0.05,
1177,0.01,
1189,0.04,
1202,1.26,
1214,1.85,
1226,0.15,
1240,1.80,
1252,2.34,
1264,0.71,
1276,1.14,
1289,0.73,
1301,2.18,
1314,2.27,
1327,0.71,
1339,0.85,
1351,0.68,
1363,2.19,
1377,1.57,
1389,1.44,
1401,1.72,
1414,2.39,
1426,0.68,
1439,0.62,
1452,1.94,
1464,0.46,
1476,1.51,
1488,0.48,
1501,1.82,
1514,0.49,
1526,0.02,
1539,0.01,
1551,0.01,
1563,0.02,
1576,0.05,
1589,0.01,
1601,0.01,
1613,0.08,
1626,1.56,
1639,0.41,
1651,0.92,
1664,0.89,
1676,0.55,
1688,1.83,
1700,2.32,
1714,0.28,
1726,0.68,
1738,0.64,
1751,0.37,
1763,1.90,
1776,0.43,
1788,0.71,
1801,1.57,
1813,2.00,
1825,1.27,
1839,0.61,
1851,0.51,
1863,1.49,
1875,0.98,
1888,0.74,
1900,1.97,
1913,0.70,
1926,1.20,
1938,1.21,
1950,0.08,
1963,0.00,
1976,0.02,
1988,0.03,
2000,0.03,
2013,0.02,
2025,0.01,
2038,0.02,
2051,0.64,
2063,0.52,
2075,0.76,
2087,0.76,
2100,2.14,
2113,0.30,
2125,0.50,
2138,0.53,
2150,0.71,
2162,1.17,
2176,0.60,
2188,0.69,
2200,1.24,
2212,1.38,
2225,0.67,
2238,0.47,
2250,0.53,
2263,0.87,
2275,1.60,
2287,1.43,
2299,0.42,
2313,1.60,
2325,0.61,
2337,1.38,
2350,0.52,
2362,1.84,
2375,0.54,
2387,0.01,
2400,0.04,
2412,0.01,
2424,0.01,
2438,0.06,
2450,1.31,
2462,0.03,
2475,0.47,
2487,0.15,
2499,0.82,
2512,0.51,
2525,1.25,
2537,0.25,
2549,0.64,
2562,1.23,
2575,1.84,
2587,2.02,
2599,0.81,
2612,0.80,
2624,0.69,
2637,2.21,
2650,1.62,
2662,1.52,
2674,1.83,
2686,2.07,
2699,0.58,
2712,0.73,
2724,2.13,
2737,0.40,
2749,1.70,
2761,0.41,
2775,2.02,
2787,0.59,
2799,0.00,
2811,0.00,
2824,0.01,
2837,0.01,
2849,0.01,
2862,0.02,
2874,0.15,
2886,1.33,
2898,0.16,
2912,0.31,
2924,0.62,
2936,0.21,
2949,2.01,
2961,1.64,
2974,0.83,
2987,1.49,
2999,1.15,
3011,1.80,
3023,0.68,
3037,1.26,
3049,0.35,
3061,0.70,
3074,1.02,
3086,0.92,
3098,0.57,
3111,0.48,
3124,1.32,
3136,1.48,
3148,0.50,
3161,2.06,
3174,0.43,
3186,2.21,
3198,0.65,
3211,1.02,
3223,0.02,
3236,0.02,
3249,0.01,
3261,0.02,
3273,0.01,
3286,0.34,
3298,2.36,
3311,1.32,
3323,0.21,
3336,1.20,
3348,0.68,
3360,1.84,
3374,0.78,
3386,1.60,
3398,0.34,
3410,0.75,
3423,0.57,
3436,0.53,
3448,2.38,
3461,0.81,
3473,0.37,
3485,0.61,
3497,0.64,
3511,0.45,
3523,0.52,
3535,1.30,
3548,1.83,
3560,0.43,
3573,1.76,
3586,0.44,
3598,1.77,
3610,0.43,
3622,2.33,
3636,0.00,
3648,0.00,
3660,0.01,
3673,0.02,
3685,0.03,
3697,0.05,
3710,0.78,
3723,2.38,
3735,1.16,
3747,0.27,
3760,1.97,
3773,0.43,
3785,1.46,
3798,0.48,
3810,1.20,
3822,0.51,
3835,1.28,
3848,0.89,
3860,0.33,
3872,1.90,
3885,0.49,
3897,0.59,
3910,1.02,
3922,1.11,
3935,0.75,
3947,0.38,
3959,0.85,
3973,2.06,
3985,0.53,
3997,1.25,
4009,0.78,
4022,1.25,
4035,0.56,
4047,1.89,
4060,0.00,
4072,0.01,
4084,0.01,
4097,0.02,
4110,0.01,
4122,0.01,
4134,1.68,
4147,0.05,
4159,0.21,
4172,0.15,
4185,0.74,
4197,0.50,
4209,1.11,
4221,1.32,
4235,0.29,
4247,1.05,
4259,1.49,
4272,0.60,
4284,0.79,
4296,0.91,
4310,1.70,
4322,0.99,
4334,0.77,
4346,0.89,
4359,1.35,
4372,2.22,
4384,0.67,
4397,0.75,
4409,2.30,
4421,0.43,
4434,2.10,
4447,0.51,
4459,1.84,
4471,1.05,
4484,0.00,
4496,0.01,
4509,0.02,
4521,0.03,
4534,0.01,
4546,0.05,
4558,0.02,
4572,0.63,
4584,1.08,
4596,0.76,
4609,0.18,
4621,0.23,
4634,1.20,
4646,0.90,
4659,0.53,
4671,0.48,
4683,0.51,
4696,0.43,
4709,1.92,
4721,0.40,
4733,0.84,
4746,2.32,
4758,2.24,
4771,2.31,
4784,0.95,
4796,0.38,
4808,1.01,
4820,2.38,
4834,0.43,
4846,1.87,
4858,0.40,
4871,2.09,
4883,0.60,
4895,0.02,
4909,0.02,
4921,0.04,
4933,0.01,
4945,0.04,
4958,0.01,
4971,0.02,
4983,0.08,
4996,0.72,
5008,0.20,
5020,0.52,
5033,1.14,
5046,2.17,
5058,0.91,
5070,1.63,
5083,0.36,
5095,0.88,
5108,0.69,
5121,0.39,
5133,2.04,
5145,0.54,
5157,0.55,
5171,0.98,
5183,1.12,
5195,0.78,
5208,0.41,
5220,0.79,
5233,1.95,
5245,0.60,
5258,1.12,
5270,0.94,
5282,1.08,
5295,0.69,
5308,1.66,
5320,0.00,
5332,0.02,
5345,0.05,
5357,0.03,
5370,0.02,
5383,0.02,
5395,1.37,
5407,0.03,
5420,0.54,
5433,0.12,
5445,1.02,
5457,0.37,
5470,1.06,
5482,0.25,
5494,0.47,
5508,1.89,
5520,1.57,
5532,1.74,
5544,1.18,
5557,0.56,
5570,1.01,
5582,1.84,
5595,1.27,
5607,1.16,
5619,1.42,
5633,2.07,
5645,0.94,
5657,0.46,
5669,1.63,
5682,0.67,
5694,1.19,
5707,0.73,
5720,1.45,
5732,0.42,
5744,0.00,
5756,0.02,
5770,0.01,
5782,0.01,
5794,0.02,
5807,0.02,
5819,0.02,
5832,0.55,
5844,1.48,
5857,1.81,
5869,0.43,
5881,0.33,
5894,0.49,
5907,0.71,
5919,0.60,
5932,0.84,
5944,0.34,
5956,0.37,
5969,0.63,
5982,2.26,
5994,0.56,
6006,0.63,
6019,1.45,
6032,2.10,
6044,1.49,
6056,0.73,
6069,0.42,
6081,1.22,
6093,1.66,
6107,0.49,
6119,2.09,
6131,0.44,
6144,2.30,
6156,0.72,
6169,0.02,
6181,0.00,
6194,0.01,
6206,0.01,
6218,0.03,
6232,0.02,
6244,0.84,
6256,1.20,
6268,2.02,
6281,0.31,
6293,0.39,
6306,0.44,
6319,0.87,
6331,0.79,
6343,0.54,
6355,0.51,
6369,0.57,
6381,0.35,
6393,1.67,
6406,0.34,
6418,1.30,
6431,2.06,
6444,1.81,
6456,2.01,
6468,1.95,
6480,0.63,
6493,0.62,
6506,1.87,
6518,0.57,
6531,1.30,
6543,0.68,
6555,1.47,
6568,0.41,
6581,0.39,
6593,0.00,
6605,0.01,
6618,0.03,
6631,0.01,
6643,0.02,
6656,0.02,
6668,2.34,
6680,0.05,
6692,0.25,
6706,0.15,
6718,0.43,
6730,0.24,
6743,2.39,
6755,2.22,
6768,0.42,
6780,2.33,
6793,2.03,
6805,1.30,
6817,0.36,
6831,2.34,
6843,1.00,
6855,0.45,
6867,0.37,
6880,0.40,
6892,0.66,
6905,1.36,
6918,2.15,
6930,0.40,
6942,1.38,
6955,0.77,
6968,1.17,
6980,0.69,
6992,1.59,
7005,0.44,
7017,0.01,
7030,0.04,
7043,0.01,
7055,0.01,
7067,0.02,
7079,0.43,
7092,1.44,
7105,1.33,
7117,1.37,
7130,0.80,
7142,0.24,
7154,1.04,
7168,0.45,
7180,1.44,
7192,0.33,
7204,0.60,
7217,0.40,
7230,0.90,
7242,1.03,
7255,1.38,
7267,0.60,
7279,0.39,
7291,0.40,
7305,0.58,
7317,1.15,
7329,2.18,
7342,0.60,
7354,0.96,
7367,1.59,
7379,0.69,
7392,1.58,
7404,0.95,
7416,0.70,
7430,0.00,
7442,0.00,
7454,0.00,
7467,0.03,
7479,0.01,
7491,0.01,
7504,0.01,
7517,0.02,
7529,2.05,
7541,0.09,
7554,1.27,
7567,0.24,
7579,1.48,
7591,2.24,
7604,0.78,
7616,1.32,
7629,0.56,
7642,2.02,
7654,1.62,
7666,0.47,
7678,1.24,
7691,0.45,
7704,1.69,
7716,2.03,
7729,1.88,
7741,2.16,
7753,1.34,
7767,0.45,
7779,0.87,
7791,2.30,
7803,0.40,
7816,1.78,
7829,0.41,
7841,2.04,
7854,0.58,
7866,0.00,
7878,0.00,
7890,0.01,
7904,0.02,
7916,0.01,
7928,0.01,
7941,0.12,
7953,0.86,
7966,0.14,
7979,0.14,
7991,0.47,
8003,0.21,
8015,2.15,
8029,1.89,
8041,0.62,
8053,1.85,
8066,1.52,
8078,2.24,
8090,0.45,
8103,1.69,
8116,0.52,
8128,0.47,
8140,0.65,
8153,0.60,
8166,0.38,
8178,0.71,
8190,1.67,
8203,0.93,
8215,0.68,
8228,2.37,
8241,0.53,
8253,2.34,
8265,0.79,
8278,0.83,
8290,0.01,
8303,0.02,
