=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 13:45:28 =~=~=~=~=~=~=~=~=~=~=~=
,
13.43,
138849,0.39,
138863,0.62,
138877,1.43,
0,1.14,
0,1.61,
1,0.62,
1,0.60,
2,2.23,
2,1.08,
2,0.37,
3,1.17,
7,0.38,
16,0.91,
26,0.51,
36,0.39,
48,0.40,
58,0.40,
68,0.44,
78,0.65,
89,1.08,
99,1.72,
110,2.00,
121,1.91,
133,1.42,
144,1.08,
155,0.00,
166,0.00,
179,0.01,
190,0.00,
201,0.05,
212,0.05,
224,0.03,
235,0.26,
247,1.32,
259,0.25,
270,0.51,
281,0.38,
292,0.22,
304,1.16,
316,0.30,
327,0.35,
338,0.56,
350,2.35,
361,0.71,
373,0.35,
385,0.53,
396,0.46,
407,0.43,
418,1.21,
430,1.71,
442,0.47,
453,2.26,
464,0.58,
476,1.11,
487,1.52,
498,0.56,
510,0.63,
522,1.83,
533,1.89,
544,1.34,
556,0.95,
567,0.70,
579,0.03,
590,0.01,
602,0.03,
613,0.02,
624,0.02,
635,0.05,
648,0.76,
659,0.09,
670,0.39,
681,1.55,
693,1.55,
704,0.21,
716,0.31,
728,2.37,
739,1.43,
750,1.80,
761,0.79,
774,1.05,
785,0.33,
796,0.69,
807,0.78,
819,0.53,
830,0.46,
842,1.41,
854,1.00,
865,0.79,
876,1.19,
887,1.14,
899,0.44,
911,2.30,
922,1.36,
933,0.61,
945,0.45,
956,0.90,
967,1.88,
979,2.26,
991,0.00,
1002,0.00,
1014,0.01,
1027,0.04,
1040,0.03,
1052,0.03,
1064,0.17,
1077,2.03,
1089,0.27,
1101,1.83,
1115,0.30,
1127,0.23,
1139,0.96,
1152,0.66,
1164,0.83,
1177,0.35,
1189,0.39,
1202,0.52,
1214,1.97,
1226,0.37,
1240,1.33,
1252,1.89,
1264,1.46,
1276,1.43,
1289,1.76,
1301,2.43,
1314,0.72,
1327,0.56,
1339,1.74,
1351,0.70,
1363,1.05,
1377,1.09,
1389,0.98,
1401,0.87,
1414,0.03,
1426,0.01,
1439,0.04,
1452,0.01,
1464,0.01,
1476,0.03,
1488,0.09,
1501,1.58,
1514,2.08,
1526,1.83,
1539,0.62,
1551,2.32,
1563,1.50,
1576,1.81,
1589,0.66,
1601,0.31,
1613,0.40,
1626,1.28,
1639,0.84,
1651,1.36,
1664,0.44,
1676,0.50,
1688,0.66,
1700,0.60,
1714,0.39,
1726,0.67,
1738,1.55,
1751,1.32,
1763,0.47,
1776,1.81,
1788,0.49,
1801,1.53,
1813,0.48,
1825,0.00,
1839,0.01,
1851,0.00,
1863,0.02,
1875,0.04,
1888,0.01,
1900,0.09,
1913,0.11,
1926,0.96,
1938,0.45,
1950,0.32,
1963,0.41,
1976,0.67,
1988,0.26,
2000,0.92,
2013,0.65,
2025,1.82,
2038,1.24,
2051,0.39,
2063,1.45,
2075,0.37,
2087,1.50,
2100,1.99,
2113,1.70,
2125,1.80,
2138,2.26,
2150,1.04,
2162,0.40,
2176,1.13,
2188,1.94,
2200,0.46,
2212,1.94,
2225,0.42,
2238,1.94,
2250,0.00,
2263,0.01,
2275,0.01,
2287,0.02,
2299,0.02,
2313,0.01,
2325,0.04,
2337,0.43,
2350,0.35,
2362,0.54,
2375,0.84,
2387,1.52,
2400,0.28,
2412,0.54,
2424,2.24,
2438,1.23,
2450,1.16,
2462,1.98,
2475,0.54,
2487,1.53,
2499,0.43,
2512,0.61,
2525,0.96,
2537,1.01,
2549,0.72,
2562,0.39,
