=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 13:49:43 =~=~=~=~=~=~=~=~=~=~=~=

11,
43057,1.28,
43070,0.97,
43083,0.87,
43097,0.96,
43111,1.21,
43124,1.65,
43138,0.91,
43150.41,
43029,1.22,
43043,1.92,
43057,1.28,
43070,0.97,
43083,0.87,
43097,0.96,
43111,1.21,
43124,1.65,
43138,0.91,
43150,1.21,
0,1.71,
1,0.78,
1,0.47,
2,1.98,
2,1.46,
2,0.58,
3,0.71,
7,1.29,
16,0.48,
26,0.68,
36,1.56,
48,0.00,
58,0.02,
68,0.01,
78,0.01,
89,0.04,
99,0.02,
110,0.03,
121,0.01,
133,0.08,
144,0.77,
155,0.63,
166,0.35,
179,1.03,
190,0.22,
201,0.61,
212,0.88,
224,2.33,
235,1.05,
247,0.37,
259,2.39,
270,1.13,
281,0.61,
292,0.57,
304,0.88,
316,1.65,
327,1.18,
338,0.49,
350,2.11,
361,0.43,
373,2.41,
385,0.91,
396,0.53,
407,2.33,
418,1.44,
430,0.72,
442,0.41,
453,0.68,
464,1.18,
476,0.00,
487,0.02,
498,0.01,
510,0.01,
522,0.03,
533,0.48,
544,2.32,
556,0.07,
567,0.12,
579,0.63,
590,0.38,
602,1.05,
613,0.94,
624,0.46,
635,0.43,
648,0.38,
659,0.74,
670,1.36,
681,1.23,
693,0.55,
704,0.42,
716,0.56,
728,1.11,
739,2.19,
750,0.54,
761,1.19,
774,0.81,
785,1.32,
796,0.43,
807,2.42,
819,1.17,
830,0.46,
842,0.74,
854,2.07,
865,1.89,
876,1.38,
887,0.00,
899,0.00,
911,0.01,
922,0.02,
933,0.03,
945,0.02,
956,0.02,
967,0.25,
979,1.39,
991,0.30,
1002,1.02,
1014,0.59,
1027,0.32,
1040,2.29,
1052,1.30,
1064,0.40,
1077,0.65,
1089,0.78,
1101,0.38,
1115,1.14,
1127,0.73,
1139,1.78,
1152,0.85,
1164,0.50,
1177,0.45,
1189,0.56,
1202,0.96,
1214,1.70,
1226,1.43,
1240,0.41,
1252,1.39,
1264,0.97,
1276,0.84,
1289,1.55,
1301,0.81,
1314,0.01,
1327,0.01,
1339,0.04,
1351,0.02,
1363,0.00,
1377,0.27,
1389,0.06,
1401,1.71,
1414,2.40,
1426,2.36,
1439,1.14,
1452,1.07,
1464,2.17,
1476,0.79,
1488,1.16,
1501,0.52,
1514,0.69,
1526,1.68,
1539,0.61,
1551,1.59,
1563,0.52,
1576,0.49,
1589,0.69,
1601,0.69,
1613,0.49,
1626,0.48,
1639,1.11,
1651,2.25,
1664,0.55,
1676,1.06,
1688,1.48,
1700,0.66,
1714,2.13,
1726,0.00,
1738,0.01,
1751,0.02,
1763,0.02,
1776,0.05,
1788,0.29,
1801,0.88,
1813,1.62,
1825,0.15,
1839,0.32,
1851,1.99,
1863,0.85,
1875,1.84,
1888,2.02,
1900,0.39,
1913,0.55,
1926,0.57,
1938,0.37,
1950,1.68,
1963,0.37,
1976,2.03,
1988,1.60,
2000,1.16,
2013,1.09,
2025,1.34,
2038,1.91,
2051,1.42,
2063,0.42,
2075,1.06,
2087,2.07,
2100,0.46,
2113,1.94,
2125,0.42,
2138,0.00,
2150,0.00,
2162,0.01,
2176,0.04,
2188,0.01,
2200,0.01,
2212,0.01,
2225,0.80,
2238,0.55,
2250,0.74,
2263,0.96,
2275,0.25,
2287,1.88,
2299,1.20,
2313,2.36,
2325,0.50,
2337,0.35,
2350,0.32,
2362,1.01,
2375,1.31,
2387,0.99,
2400,0.39,
2412,0.88,
2424,1.41,
2438,1.39,
2450,0.90,
2462,0.45,
2475,0.66,
2487,1.68,
2499,0.99,
2512,0.64,
2525,2.21,
2537,0.43,
2549,1.96,
2562,0.00,
2575,0.02,
2587,0.00,
2599,0.01,
2612,0.04,
2624,0.02,
2637,0.02,
2650,0.34,
2662,2.10,
2674,1.60,
2686,0.88,
2699,2.29,
2712,0.27,
2724,0.50,
2737,0.47,
2749,1.07,
2761,2.27,
2775,1.91,
2787,0.49,
2799,1.24,
2811,0.48,
2824,2.25,
2837,1.70,
2849,1.37,
2862,1.41,
2874,1.78,
2886,2.32,
2898,0.68,
2912,0.60,
2924,1.77,
2936,0.72,
2949,0.99,
2961,1.29,
2974,0.83,
2987,0.00,
2999,0.02,
3011,0.01,
3023,0.05,
3037,0.02,
3049,0.04,
3061,0.09,
3074,0.40,
3086,0.19,
3098,0.26,
3111,0.22,
3124,1.71,
3136,1.29,
3148,1.71,
3161,0.84,
3174,0.42,
3186,0.66,
3198,1.76,
3211,0.52,
3223,1.87,
3236,0.74,
3249,0.39,
3261,0.42,
3273,0.41,
3286,0.43,
3298,0.85,
3311,1.70,
3323,1.21,
3336,0.46,
3348,1.69,
3360,0.65,
3374,1.23,
3386,0.80,
3398,0.01,
3410,0.01,
3423,0.01,
3436,0.01,
3448,0.01,
3461,0.03,
3473,0.06,
3485,0.27,
3497,0.81,
3511,0.28,
3523,0.19,
3535,0.24,
3548,1.72,
3560,1.38,
3573,1.39,
3586,0.99,
3598,0.54,
3610,0.85,
3622,2.03,
3636,0.37,
3648,2.20,
3660,1.01,
3673,0.50,
3685,0.39,
3697,0.42,
3710,0.61,
3723,1.14,
3735,2.07,
3747,0.78,
3760,0.66,
3773,2.08,
3785,0.43,
3798,1.59,
3810,0.51,
3822,0.00,
3835,0.00,
3848,0.03,
3860,0.02,
3872,0.01,
3885,0.00,
3897,1.07,
3910,2.12,
3922,0.22,
3935,0.38,
3947,1.54,
3959,2.05,
3973,1.08,
3985,1.61,
3997,0.50,
4009,2.13,
4022,2.43,
4035,0.82,
4047,0.57,
4060,1.68,
4072,1.17,
4084,0.46,
4097,0.40,
4110,0.44,
4122,0.39,
4134,0.56,
4147,1.18,
4159,2.23,
4172,0.62,
4185,0.91,
4197,2.23,
4209,0.49,
4221,2.13,
4235,0.01,
4247,0.01,
4259,0.00,
4272,0.02,
4284,0.04,
4296,0.39,
4310,0.23,
4322,0.35,
4334,1.55,
4346,0.32,
4359,0.90,
4372,0.35,
4384,1.80,
4397,0.86,
4409,0.72,
4421,0.37,
4434,0.41,
4447,0.50,
4459,1.90,
4471,0.35,
4484,1.73,
4496,1.65,
4509,1.17,
4521,1.06,
4534,1.28,
4546,1.81,
4558,1.79,
4572,0.49,
4584,0.89,
4596,2.32,
4609,0.42,
4621,1.63,
4634,0.53,
4646,0.00,
4659,0.00,
4671,0.01,
4683,0.01,
4696,0.02,
4709,0.01,
4721,0.19,
4733,0.08,
4746,1.84,
4758,1.41,
4771,1.25,
4784,0.27,
4796,1.70,
4808,0.90,
4820,1.86,
4834,0.30,
4846,0.67,
4858,0.58,
4871,0.43,
4883,1.94,
4895,0.39,
4909,1.08,
4921,2.12,
4933,1.69,
4945,1.67,
4958,1.98,
4971,1.90,
4983,0.64,
4996,0.61,
5008,1.75,
5020,0.77,
5033,0.91,
5046,1.61,
5058,0.70,
5070,0.00,
5083,0.01,
5095,0.04,
5108,0.03,
5121,0.05,
5133,0.02,
5145,0.98,
5157,0.05,
5171,0.53,
5183,0.47,
5195,0.39,
5208,1.14,
5220,0.26,
5233,0.34,
5245,0.64,
5258,0.86,
5270,2.40,
5282,1.75,
5295,0.49,
5308,1.20,
5320,0.53,
5332,2.37,
5345,1.53,
5357,1.18,
5370,1.19,
5383,1.51,
5395,2.17,
5407,0.96,
5420,0.44,
5433,1.39,
5445,1.14,
5457,0.67,
5470,2.40,
5482,0.53,
5494,0.01,
5508,0.03,
5520,0.04,
5532,0.01,
5544,0.02,
5557,0.97,
5570,1.12,
5582,0.08,
5595,0.15,
5607,0.21,
5619,0.89,
5633,0.24,
5645,0.45,
