=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 13:51:32 =~=~=~=~=~=~=~=~=~=~=~=
,0.0.98,
53615,1.71,
53629,1.97,
53643,0.77,
53656,2.16,
53669,0.94,
53683,1.34,
53697,0.93,
53710,1.50,
53724,0.,
53602,0.98,
53615,1.71,
53629,1.97,
53643,0.77,
53656,2.16,
53669,0.94,
53683,1.34,
53697,0.93,
53710,1.50,
53724,0.0,0.78,
0,0.50,
1,2.35,
1,1.05,
2,0.35,
2,1.67,
2,1.30,
3,0.36,
7,0.61,
16,0.37,
26,1.52,
36,0.46,
48,2.21,
58,0.89,
68,0.39,
78,0.77,
89,1.47,
99,2.36,
110,2.35,
121,0.85,
133,0.60,
144,2.36,
155,1.31,
166,0.61,
179,0.44,
190,0.90,
201,1.85,
212,0.01,
224,0.01,
235,0.01,
247,0.01,
259,0.01,
270,0.03,
281,1.95,
292,0.36,
304,1.55,
316,0.24,
327,0.44,
338,0.31,
350,0.48,
361,0.92,
373,2.06,
385,0.88,
396,0.46,
407,1.64,
418,1.38,
430,0.82,
442,0.76,
453,1.09,
464,1.89,
476,0.94,
487,0.57,
498,2.23,
510,0.45,
522,2.39,
533,0.88,
544,0.59,
556,2.32,
567,1.24,
579,0.55,
590,0.50,
602,1.08,
613,2.44,
624,0.00,
635,0.04,
648,0.01,
659,0.03,
670,0.01,
681,0.02,
693,1.44,
704,0.65,
716,0.24,
728,1.30,
739,0.46,
750,0.21,
761,0.88,
774,0.39,
785,1.76,
796,1.12,
807,1.63,
819,0.85,
830,1.08,
842,0.34,
854,0.67,
865,0.78,
876,0.56,
887,0.43,
899,1.27,
911,1.43,
922,0.56,
933,2.43,
945,0.68,
956,0.97,
967,1.60,
979,0.61,
991,0.68,
1002,2.31,
1014,0.47,
1027,2.00,
1040,0.43,
1052,0.01,
1064,0.00,
1077,0.01,
1089,0.02,
1101,0.02,
1115,1.66,
1127,1.27,
1139,0.07,
1152,1.70,
1164,0.17,
1177,1.74,
1189,2.28,
1202,0.56,
1214,0.78,
1226,1.90,
1240,1.17,
1252,0.92,
1264,1.51,
1276,1.11,
1289,0.78,
1301,0.70,
1314,2.28,
1327,1.61,
1339,1.39,
1351,1.51,
1363,1.96,
1377,1.66,
1389,0.53,
1401,0.78,
1414,2.08,
1426,0.51,
1439,1.26,
1452,0.92,
1464,1.05,
1476,0.01,
1488,0.01,
1501,0.01,
1514,0.01,
1526,0.03,
1539,0.09,
1551,0.06,
1563,0.30,
1576,2.18,
1589,0.58,
1601,0.71,
1613,1.02,
1626,0.90,
1639,2.43,
1651,0.78,
1664,0.44,
1676,0.76,
1688,1.96,
1700,0.39,
1714,2.17,
1726,0.99,
1738,0.49,
1751,0.39,
1763,0.41,
1776,0.56,
1788,1.06,
1801,1.95,
1813,0.95,
1825,0.54,
1839,1.83,
1851,0.60,
1863,1.27,
1875,0.80,
1888,0.01,
1900,0.01,
1913,0.02,
1926,0.01,
1938,0.02,
1950,0.79,
1963,0.25,
1976,0.21,
1988,0.18,
2000,0.17,
2013,0.42,
2025,0.94,
2038,0.48,
2051,1.49,
2063,0.35,
2075,0.78,
2087,0.64,
2100,0.42,
2113,1.96,
2125,0.41,
2138,1.03,
2150,2.17,
2162,1.74,
2176,1.70,
2188,2.01,
2200,1.91,
2212,0.65,
2225,0.58,
2238,1.66,
2250,0.87,
2263,0.79,
2275,2.22,
2287,0.57,
2299,0.00,
2313,0.02,
2325,0.01,
2337,0.00,
2350,0.01,
2362,0.02,
2375,0.02,
2387,0.36,
2400,0.37,
2412,0.51,
2424,0.14,
2438,0.91,
2450,0.69,
2462,0.96,
2475,1.41,
2487,0.32,
2499,2.43,
2512,1.80,
2525,2.22,
2537,0.67,
2549,1.02,
2562,0.61,
2575,2.27,
2587,1.49,
2599,1.17,
2612,1.19,
2624,1.53,
2637,2.19,
2650,0.96,
2662,0.44,
2674,1.39,
2686,1.17,
2699,0.64,
2712,2.34,
2724,0.49,
2737,0.04,
2749,0.01,
2761,0.01,
2775,0.02,
2787,0.05,
2799,0.02,
2811,0.16,
2824,0.16,
2837,1.48,
2849,1.77,
2862,2.23,
2874,0.22,
2886,0.31,
2898,0.93,
2912,0.52,
2924,0.96,
2936,0.66,
2949,0.47,
2961,2.15,
2974,0.54,
2987,0.69,
2999,1.87,
3011,2.25,
3023,2.27,
3037,1.88,
3049,0.81,
3061,0.42,
3074,1.11,
3086,2.45,
3098,0.42,
3111,1.48,
3124,0.75,
3136,1.17,
3148,0.01,
3161,0.01,
3174,0.03,
3186,0.02,
3198,0.05,
3211,0.29,
3223,0.87,
3236,2.28,
3249,0.68,
3261,0.30,
3273,0.56,
3286,0.96,
3298,0.65,
3311,1.92,
3323,0.38,
3336,0.39,
3348,0.32,
3360,1.04,
3374,1.19,
3386,1.08,
3398,0.36,
3410,0.79,
3423,1.23,
3436,1.24,
3448,0.84,
3461,0.44,
3473,0.67,
3485,1.62,
3497,1.12,
3511,0.55,
3523,1.99,
3535,0.43,
3548,1.63,
3560,0.01,
3573,0.01,
3586,0.02,
3598,0.01,
3610,0.01,
3622,0.01,
3636,2.06,
3648,1.50,
3660,0.18,
3673,1.21,
3685,0.50,
3697,1.28,
3710,0.25,
3723,0.46,
3735,2.33,
3747,1.05,
3760,0.91,
3773,1.60,
3785,0.92,
3798,0.97,
3810,0.53,
3822,1.88,
3835,2.00,
3848,1.80,
3860,1.95,
3872,2.44,
3885,0.89,
3897,0.42,
3910,1.19,
3922,1.94,
3935,0.44,
3947,1.76,
3959,0.50,
3973,1.53,
3985,0.00,
3997,0.03,
4009,0.01,
4022,0.01,
4035,0.01,
4047,0.22,
4060,0.05,
4072,1.48,
4084,2.34,
4097,2.33,
4110,1.05,
4122,1.38,
4134,1.92,
4147,1.16,
4159,0.81,
4172,0.32,
4185,0.38,
4197,1.07,
4209,1.41,
4221,0.86,
4235,0.51,
4247,1.38,
4259,2.34,
4272,2.24,
4284,2.24,
4296,1.00,
4310,0.43,
4322,0.83,
4334,2.02,
4346,0.64,
4359,1.02,
4372,1.48,
4384,0.71,
4397,0.00,
4409,0.02,
4421,0.01,
4434,0.01,
4447,0.02,
4459,0.09,
4471,0.14,
4484,0.47,
4496,0.13,
4509,0.23,
4521,1.42,
4534,0.32,
4546,0.97,
4558,0.44,
4572,1.52,
4584,0.64,
4596,0.68,
4609,1.49,
4621,0.88,
4634,1.12,
4646,0.39,
4659,1.06,
4671,2.28,
4683,2.38,
4696,1.97,
4709,0.95,
4721,0.42,
4733,0.84,
4746,2.01,
4758,0.66,
4771,0.98,
4784,1.62,
4796,0.65,
4808,0.04,
4820,0.01,
4834,0.01,
4846,0.02,
4858,0.03,
4871,0.02,
4883,0.48,
4895,0.25,
4909,2.32,
4921,1.29,
4933,0.23,
4945,0.65,
4958,0.34,
4971,0.32,
4983,2.22,
4996,1.08,
5008,1.03,
5020,1.82,
5033,0.68,
5046,1.29,
5058,0.36,
5070,0.98,
5083,2.20,
5095,2.36,
5108,2.15,
5121,1.05,
5133,0.46,
5145,0.73,
5157,1.83,
5171,0.79,
5183,0.81,
5195,2.32,
5208,0.52,
5220,2.27,
5233,0.01,
5245,0.01,
5258,0.00,
5270,0.02,
5282,0.01,
5295,0.00,
5308,1.65,
5320,0.82,
5332,0.42,
5345,1.91,
5357,0.22,
5370,0.41,
5383,0.62,
5395,0.44,
5407,1.17,
5420,0.32,
5433,0.33,
5445,0.58,
5457,1.91,
5470,0.37,
5482,2.39,
5494,1.37,
5508,0.83,
5520,0.67,
5532,0.77,
5544,1.15,
5557,1.85,
5570,1.31,
5582,0.41,
5595,1.28,
5607,1.31,
5619,0.63,
5633,2.33,
5645,0.51,
5657,0.00,
5669,0.02,
5682,0.03,
5694,0.02,
5707,0.02,
5720,0.77,
5732,2.14,
5744,1.27,
5756,2.33,
5770,0.78,
5782,1.77,
5794,0.28,
5807,0.29,
5819,0.94,
5832,0.55,
5844,1.15,
5857,0.82,
5869,0.36,
5881,1.82,
5894,0.38,
5907,1.07,
5919,2.17,
5932,1.76,
5944,1.74,
5956,2.06,
5969,1.69,
5982,0.61,
5994,0.63,
6006,1.76,
6019,0.80,
6032,0.86,
6044,1.93,
6056,0.61,
6069,0.02,
6081,0.01,
6093,0.04,
6107,0.01,
6119,0.03,
6131,0.01,
6144,2.30,
6156,0.31,
6169,0.19,
6181,1.06,
6194,1.67,
6206,1.87,
6218,0.47,
6232,0.44,
6244,1.84,
6256,0.43,
6268,0.32,
6281,0.45,
6293,1.50,
6306,0.64,
6319,1.70,
6331,0.64,
6343,0.38,
6355,0.53,
6369,0.51,
6381,0.40,
6393,0.68,
6406,1.45,
6418,1.96,
6431,0.42,
6444,1.30,
6456,1.10,
6468,0.79,
6480,1.77,
6493,0.01,
6506,0.01,
6518,0.01,
6531,0.02,
6543,0.01,
6555,0.21,
6568,0.13,
6581,0.13,
6593,1.09,
6605,2.22,
6618,2.28,
6631,0.26,
6643,0.25,
6656,1.25,
6668,0.35,
6680,0.61,
6692,0.41,
6706,0.82,
6718,1.61,
6730,0.95,
6743,0.39,
6755,0.85,
6768,1.33,
6780,1.29,
6793,0.85,
6805,0.45,
6817,0.68,
6831,1.65,
6843,1.07,
6855,0.58,
6867,2.03,
6880,0.43,
6892,1.68,
6905,0.03,
6918,0.01,
6930,0.02,
6942,0.02,
6955,0.01,
6968,1.46,
6980,0.39,
6992,0.10,
7005,0.63,
7017,1.36,
7030,0.79,
7043,1.13,
7055,2.40,
