=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:00:02 =~=~=~=~=~=~=~=~=~=~=~=
1.89.1.79,
37905,0.73,
37919,0.55,
37933,2.1
37811,0.47,
37824,0.61,
37837,0.51,
37852,0.82,
37865,0.66,
37878,1.82,
37892,1.79,
37905,0.73,
37919,0.55,
37933,2.10,0.43,
0,0.90,
1,1.77,
1,0.65,
2,0.61,
2,2.23,
2,0.96,
3,0.41,
7,0.66,
16,0.59,
26,1.03,
36,1.63,
48,0.72,
58,0.39,
68,0.70,
78,1.06,
89,1.35,
99,1.36,
110,1.09,
121,1.64,
133,0.65,
144,0.53,
155,1.52,
166,1.99,
179,1.35,
190,0.00,
201,0.03,
212,0.01,
224,0.01,
235,0.05,
247,0.08,
259,0.53,
270,2.23,
281,0.18,
292,1.68,
304,0.56,
316,2.25,
327,0.89,
338,0.98,
350,0.48,
361,0.86,
373,2.33,
385,0.42,
396,0.85,
407,2.41,
418,2.18,
430,2.34,
442,0.88,
453,0.40,
464,1.38,
476,0.93,
487,0.93,
498,0.95,
510,1.34,
522,0.41,
533,1.93,
544,1.39,
556,0.57,
567,0.57,
579,1.41,
590,2.11,
602,0.01,
613,0.03,
624,0.02,
635,0.05,
648,0.03,
659,0.07,
670,0.08,
681,0.08,
693,2.07,
704,0.32,
716,0.20,
728,1.18,
739,0.62,
750,1.13,
761,0.46,
774,0.73,
785,2.02,
796,0.33,
807,1.64,
819,1.81,
830,1.52,
842,1.74,
854,2.41,
865,0.68,
876,0.67,
887,2.22,
899,0.40,
911,2.12,
922,0.55,
933,1.17,
945,1.53,
956,0.55,
967,0.70,
979,2.24,
991,1.63,
1002,0.99,
1014,0.01,
1027,0.01,
1040,0.01,
1052,0.02,
1064,0.01,
1077,0.60,
1089,0.06,
1101,0.95,
1115,0.26,
1127,1.16,
1139,1.05,
1152,0.97,
1164,0.91,
1177,0.89,
1189,2.34,
1202,0.84,
1214,0.49,
1226,0.81,
1240,1.97,
1252,0.43,
1264,2.05,
1276,0.85,
1289,0.40,
1301,0.43,
1314,0.46,
1327,0.41,
1339,0.60,
1351,1.24,
1363,2.29,
1377,0.62,
1389,0.88,
1401,2.41,
1414,0.44,
1426,1.85,
1439,0.00,
1452,0.02,
1464,0.01,
1476,0.02,
1488,0.04,
1501,2.16,
1514,1.18,
1526,1.45,
1539,1.22,
1551,0.46,
1563,0.56,
1576,0.24,
1589,0.70,
1601,0.40,
1613,1.43,
1626,0.47,
1639,0.41,
1651,0.95,
1664,2.44,
1676,0.47,
1688,1.17,
1700,1.80,
1714,1.17,
1726,0.94,
1738,1.02,
1751,1.37,
1763,2.02,
1776,1.17,
1788,0.41,
1801,1.20,
1813,1.70,
1825,0.49,
1839,1.94,
1851,0.01,
1863,0.00,
1875,0.01,
1888,0.01,
1900,0.01,
1913,0.01,
1926,0.02,
1938,1.92,
1950,0.17,
1963,1.66,
1976,1.54,
1988,1.50,
2000,0.42,
2013,1.98,
2025,1.09,
2038,2.01,
2051,0.30,
2063,0.73,
2075,0.72,
2087,0.33,
2100,1.46,
2113,0.51,
2125,2.20,
2138,1.18,
2150,0.72,
2162,0.59,
2176,0.69,
2188,1.03,
2200,1.69,
2212,1.80,
2225,0.45,
2238,1.02,
2250,2.26,
2263,0.44,
2275,1.83,
2287,0.00,
2299,0.00,
2313,0.01,
2325,0.02,
2337,0.04,
2350,0.01,
2362,1.86,
2375,0.27,
2387,0.19,
2400,1.02,
2412,2.09,
2424,2.37,
2438,0.29,
2450,0.27,
2462,1.31,
2475,0.35,
2487,0.64,
2499,0.46,
2512,0.67,
2525,2.44,
2537,0.66,
2549,0.64,
2562,1.85,
2575,2.17,
2587,2.08,
2599,2.34,
2612,1.29,
2624,0.56,
2637,0.64,
2650,1.68,
2662,0.97,
2674,0.67,
2686,2.23,
2699,0.43,
2712,0.00,
2724,0.02,
2737,0.03,
2749,0.02,
2761,1.18,
2775,0.10,
2787,0.75,
2799,1.98,
2811,0.29,
2824,0.67,
2837,0.73,
2849,0.74,
2862,0.88,
2874,0.33,
2886,1.21,
2898,2.34,
2912,1.61,
2924,0.44,
2936,1.38,
2949,0.44,
2961,2.13,
2974,1.66,
2987,1.25,
2999,1.19,
3011,1.43,
3023,1.97,
3037,1.47,
3049,0.46,
3061,0.90,
3074,2.24,
3086,0.44,
3098,1.38,
3111,0.83,
3124,0.01,
3136,0.01,
3148,0.02,
3161,0.03,
3174,0.29,
3186,0.47,
3198,0.47,
3211,0.14,
3223,1.81,
3236,0.55,
3249,0.52,
3261,1.48,
3273,1.42,
3286,1.03,
3298,1.32,
3311,0.86,
3323,1.24,
3336,2.33,
3348,0.38,
3360,2.23,
3374,1.20,
3386,0.56,
3398,0.40,
3410,0.40,
3423,0.47,
3436,0.81,
3448,1.51,
3461,2.10,
3473,0.46,
3485,1.06,
3497,1.94,
3511,0.49,
3523,2.02,
3535,0.01,
3548,0.01,
3560,0.04,
3573,0.02,
3586,1.20,
3598,0.10,
3610,0.74,
3622,1.96,
3636,0.29,
3648,0.64,
3660,0.69,
3673,0.77,
3685,0.94,
3697,0.32,
3710,1.33,
3723,2.24,
3735,1.85,
3747,0.48,
3760,1.28,
3773,0.50,
3785,2.43,
3798,1.54,
3810,1.13,
3822,1.06,
3835,1.29,
3848,1.81,
3860,1.91,
3872,0.57,
3885,0.77,
3897,2.05,
3910,0.54,
