=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:11:34 =~=~=~=~=~=~=~=~=~=~=~=
1,0
33511,1.17,
33525,1.70,
33539,1.97,
33552,0.72,
33565,1.47,
335,1.91,
33458,0.29,
33471,1.08,
33484,2.23,
33498,1.39,
33511,1.17,
33525,1.70,
33539,1.97,
33552,0.72,
33565,1.47,
3350,1.31,
0,0.37,
1,1.14,
1,1.66,
2,0.52,
2,0.77,
2,1.97,
3,0.76,
7,1.26,
16,0.70,
26,2.00,
36,0.73,
48,0.85,
58,1.82,
68,0.75,
78,0.43,
89,0.93,
99,1.95,
110,2.25,
121,0.53,
133,1.77,
144,1.10,
155,0.50,
166,2.43,
179,1.16,
190,0.00,
201,0.02,
212,0.01,
224,0.05,
235,1.63,
247,0.27,
259,0.07,
270,1.05,
281,2.34,
292,2.07,
304,0.21,
316,0.23,
327,1.50,
338,0.32,
350,0.30,
361,0.66,
373,2.21,
385,0.40,
396,1.07,
407,2.21,
418,1.81,
430,1.89,
442,2.39,
453,0.96,
464,0.42,
476,1.40,
487,1.12,
498,0.75,
510,1.73,
522,0.82,
533,1.01,
544,1.47,
556,0.44,
567,1.64,
579,1.48,
590,0.00,
602,0.01,
613,0.03,
624,0.05,
635,0.01,
648,0.01,
659,0.29,
670,2.30,
681,0.70,
693,0.29,
704,0.50,
716,1.23,
728,1.10,
739,1.49,
750,1.20,
761,0.92,
774,1.60,
785,0.93,
796,1.05,
807,0.41,
819,1.07,
830,1.84,
842,1.71,
854,0.97,
865,0.43,
876,0.84,
887,2.15,
899,0.51,
911,1.36,
922,0.75,
933,1.41,
945,0.49,
956,2.14,
967,0.74,
979,0.72,
991,2.12,
1002,0.13,
1014,0.03,
1027,0.01,
1040,0.01,
1052,0.02,
1064,0.34,
1077,2.19,
1089,0.60,
1101,1.08,
1115,0.54,
1127,2.24,
1139,1.98,
1152,0.46,
1164,0.34,
1177,1.39,
1189,0.42,
1202,1.08,
1214,1.07,
1226,0.48,
1240,0.96,
1252,1.20,
1264,1.19,
1276,0.39,
1289,0.90,
1301,1.88,
1314,2.44,
1327,2.45,
1339,1.78,
1351,0.95,
1363,0.45,
1377,0.70,
1389,1.59,
1401,1.63,
1414,0.44,
1426,0.00,
1439,0.02,
1452,0.02,
1464,0.01,
1476,0.05,
1488,0.71,
1501,0.47,
1514,0.64,
1526,1.34,
1539,0.58,
1551,0.43,
1563,1.79,
1576,1.65,
1589,1.06,
1601,1.16,
1613,0.52,
1626,0.59,
1639,1.32,
1651,1.42,
1664,0.68,
1676,0.97,
1688,1.85,
1700,1.00,
1714,0.60,
1726,0.48,
1738,0.51,
1751,0.68,
1763,1.08,
1776,1.75,
1788,1.99,
1801,0.55,
1813,0.77,
1825,1.97,
1839,0.00,
1851,0.01,
1863,0.04,
1875,0.03,
1888,0.02,
1900,0.22,
1913,1.38,
1926,0.96,
1938,0.28,
1950,1.82,
1963,1.69,
1976,0.37,
1988,0.61,
2000,0.37,
2013,2.02,
2025,1.59,
2038,1.54,
2051,2.31,
2063,0.56,
2075,1.33,
2087,0.50,
2100,2.47,
2113,1.49,
2125,0.95,
2138,0.73,
2150,0.74,
2162,0.93,
2176,1.35,
2188,2.02,
2200,1.38,
2212,0.45,
2225,0.92,
2238,2.16,
2250,0.00,
2263,0.01,
2275,0.02,
2287,0.04,
2299,0.01,
2313,0.28,
2325,0.14,
2337,0.99,
2350,0.47,
2362,0.53,
2375,0.60,
2387,1.06,
2400,1.69,
2412,0.43,
2424,1.88,
2438,0.97,
2450,0.98,
