=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:13:10 =~=~=~=~=~=~=~=~=~=~=~=
4,
180,0.38,
46193,0.59,
46206,1.40,
46220,1.40,
46234,0.61,
46247,1.91,
46261,0.97,
46274,0.53,
46287,2.28,
6167,0.42,
46180,0.38,
46193,0.59,
46206,1.40,
46220,1.40,
46234,0.61,
46247,1.91,
46261,0.97,
46274,0.53,
46287,2.28,
0,0.75,
0,2.19,
1,1.07,
1,0.43,
2,1.34,
2,1.79,
2,0.76,
3,0.51,
7,1.27,
16,1.06,
26,0.82,
36,0.55,
48,0.00,
58,0.01,
68,0.01,
78,0.01,
89,0.00,
99,1.76,
110,0.14,
121,0.85,
133,2.23,
144,0.85,
155,2.21,
166,1.58,
179,1.77,
190,0.64,
201,0.29,
212,0.41,
224,1.41,
235,0.71,
247,1.71,
259,0.65,
270,0.37,
281,0.37,
292,0.41,
304,0.74,
316,1.57,
327,1.55,
338,0.43,
350,1.70,
361,0.61,
373,1.48,
385,0.51,
396,1.95,
407,0.55,
418,1.19,
430,1.58,
442,0.55,
453,0.03,
464,0.03,
476,0.01,
487,0.03,
498,0.02,
510,1.17,
522,2.43,
533,0.14,
544,1.39,
556,1.80,
567,0.24,
579,0.42,
590,2.31,
602,0.99,
613,0.91,
624,1.76,
635,0.70,
648,1.39,
659,0.38,
670,0.64,
681,0.92,
693,0.85,
704,0.54,
716,0.48,
728,1.31,
739,1.83,
750,0.43,
761,1.85,
774,0.46,
785,1.82,
796,0.43,
807,2.45,
819,0.95,
830,0.58,
842,2.30,
854,0.00,
865,0.01,
876,0.03,
887,0.02,
899,2.38,
911,0.76,
922,0.22,
933,1.57,
945,1.53,
956,2.39,
967,0.28,
979,0.29,
991,1.68,
1002,0.37,
1014,1.93,
1027,0.51,
1040,0.33,
1052,0.40,
1064,1.11,
1077,1.67,
1089,0.68,
1101,0.92,
1115,1.95,
1127,1.10,
1139,0.69,
1152,0.55,
1164,0.58,
1177,0.76,
1189,1.17,
1202,1.82,
1214,1.85,
1226,0.55,
1240,0.74,
1252,0.00,
1264,0.01,
1276,0.04,
1289,0.02,
1301,1.14,
1314,0.47,
1327,0.40,
1339,0.15,
1351,0.21,
1363,1.91,
1377,0.57,
1389,2.11,
1401,2.43,
1414,0.36,
1426,2.45,
1439,1.82,
1452,2.09,
1464,1.09,
1476,0.51,
1488,2.47,
1501,0.82,
1514,0.51,
1526,1.32,
1539,2.38,
1551,2.12,
1563,2.16,
1576,2.45,
1589,1.36,
1601,0.65,
1613,0.50,
1626,1.21,
1639,2.34,
1651,0.00,
1664,0.01,
1676,0.03,
1688,0.05,
1700,0.05,
1714,0.86,
1726,0.70,
1738,0.13,
1751,0.15,
1763,0.38,
1776,2.08,
1788,1.00,
1801,1.53,
1813,1.81,
1825,0.65,
1839,1.87,
1851,1.25,
1863,1.49,
1875,2.39,
1888,0.39,
1900,1.85,
1913,0.45,
1926,0.93,
1938,2.33,
1950,1.76,
1963,1.52,
1976,1.55,
1988,1.81,
2000,2.32,
2013,1.24,
2025,0.49,
2038,0.72,
2051,1.70,
2063,0.00,
2075,0.01,
2087,0.04,
2100,0.02,
2113,0.00,
2125,1.40,
2138,0.06,
2150,0.08,
2162,1.39,
2176,0.92,
2188,0.78,
2200,0.55,
2212,1.57,
2225,1.45,
2238,1.35,
2250,0.95,
2263,0.39,
2275,0.42,
2287,0.98,
2299,2.45,
2313,0.43,
2325,2.00,
2337,1.23,
2350,0.51,
2362,0.44,
2375,0.62,
2387,0.65,
2400,0.50,
2412,0.43,
2424,0.71,
2438,1.38,
2450,2.35,
2462,0.74,
2475,0.64,
2487,0.01,
2499,0.01,
2512,0.05,
2525,0.01,
2537,0.07,
2549,0.13,
2562,0.36,
2575,0.15,
2587,0.29,
2599,0.32,
2612,0.97,
2624,0.31,
2637,0.78,
2650,1.45,
2662,1.45,
2674,1.10,
2686,1.53,
2699,1.73,
2712,0.41,
2724,2.40,
2737,0.85,
2749,0.43,
2761,1.00,
2775,1.88,
2787,2.40,
2799,2.16,
2811,1.38,
2824,0.77,
2837,0.43,
2849,0.85,
2862,1.78,
2874,1.27,
2886,0.00,
2898,0.01,
2912,0.03,
2924,0.05,
2936,1.40,
2949,0.50,
2961,0.17,
2974,0.18,
2987,0.22,
2999,1.14,
3011,0.27,
3023,1.11,
3037,0.68,
3049,0.81,
3061,0.49,
3074,0.83,
3086,0.60,
3098,0.48,
3111,1.95,
3124,0.38,
3136,2.32,
3148,1.29,
3161,0.62,
3174,0.42,
3186,0.41,
3198,0.42,
3211,0.46,
3223,0.72,
3236,1.28,
3249,2.13,
3261,1.02,
3273,0.46,
3286,0.00,
3298,0.01,
3311,0.02,
3323,0.03,
3336,2.05,
3348,0.08,
3360,0.55,
3374,0.36,
3386,2.28,
3398,0.20,
3410,0.33,
3423,1.17,
3436,1.37,
3448,0.30,
3461,2.35,
3473,1.47,
3485,1.52,
3497,2.38,
3511,0.50,
3523,1.46,
3535,0.42,
3548,2.05,
3560,1.61,
3573,1.02,
3586,0.77,
3598,0.74,
3610,0.90,
3622,1.26,
3636,1.86,
3648,1.90,
3660,0.62,
3673,0.65,
3685,1.68,
3697,0.00,
3710,0.01,
3723,0.02,
3735,0.06,
3747,0.56,
3760,0.13,
3773,2.24,
3785,2.45,
3798,2.23,
3810,0.71,
3822,2.01,
3835,0.74,
3848,1.14,
3860,1.14,
3872,1.44,
3885,0.96,
3897,1.24,
3910,2.31,
3922,0.43,
3935,1.76,
3947,0.44,
3959,0.96,
3973,2.33,
3985,1.77,
3997,1.55,
4009,1.59,
4022,1.86,
4035,2.37,
4047,1.15,
4060,0.46,
4072,0.75,
4084,1.76,
4097,1.16,
4110,0.01,
4122,0.02,
4134,0.02,
4147,0.25,
4159,2.05,
4172,1.15,
4185,1.58,
4197,0.40,
4209,0.20,
4221,0.53,
4235,0.69,
4247,0.27,
4259,0.67,
4272,1.64,
4284,1.41,
4296,1.10,
4310,1.58,
4322,1.59,
4334,0.45,
4346,2.42,
4359,0.95,
4372,0.40,
4384,0.88,
4397,1.55,
4409,1.99,
4421,1.75,
4434,1.15,
4447,0.66,
4459,0.45,
4471,0.96,
4484,1.93,
4496,1.08,
4509,0.00,
4521,0.01,
4534,0.03,
4546,0.05,
4558,0.18,
4572,2.33,
4584,0.60,
4596,0.96,
4609,1.05,
4621,0.20,
4634,1.21,
4646,0.31,
4659,0.64,
4671,2.30,
4683,1.03,
4696,0.64,
4709,0.93,
4721,1.97,
4733,0.59,
4746,1.49,
4758,0.39,
4771,1.25,
4784,2.11,
4796,1.58,
4808,1.37,
4820,1.41,
4834,1.69,
4846,2.20,
4858,1.41,
4871,0.53,
4883,0.66,
4895,1.62,
4909,1.38,
4921,0.01,
4933,0.02,
4945,0.04,
4958,0.29,
4971,0.04,
4983,0.14,
4996,1.61,
5008,0.17,
5020,1.59,
5033,1.79,
5046,0.28,
5058,0.37,
5070,0.73,
5083,0.90,
5095,2.25,
5108,2.21,
5121,1.28,
5133,0.37,
5145,1.89,
5157,0.41,
5171,1.29,
5183,1.89,
5195,1.23,
5208,0.92,
5220,0.86,
5233,1.00,
5245,1.35,
5258,1.93,
5270,1.77,
5282,0.59,
5295,0.66,
5308,1.68,
5320,0.01,
5332,0.02,
5345,0.02,
5357,0.02,
5370,0.85,
5383,1.86,
5395,1.67,
5407,1.23,
5420,0.61,
5433,1.79,
5445,0.26,
5457,0.70,
5470,0.34,
5482,1.65,
5494,0.52,
5508,0.37,
5520,0.63,
5532,1.67,
5544,0.73,
5557,1.38,
5570,0.39,
5582,1.25,
5595,2.16,
5607,1.67,
5619,1.49,
5633,1.57,
5645,1.89,
5657,2.45,
5669,1.03,
5682,0.44,
5694,0.87,
5707,1.94,
5720,0.00,
5732,0.00,
5744,0.01,
5756,0.01,
5770,0.01,
5782,0.02,
5794,0.88,
5807,0.32,
5819,1.01,
5832,0.74,
5844,1.38,
5857,1.17,
5869,0.75,
5881,0.56,
5894,1.74,
5907,0.32,
5919,0.85,
5932,0.91,
5944,0.45,
5956,0.96,
5969,1.36,
5982,1.02,
5994,0.44,
6006,1.43,
6019,2.17,
6032,1.80,
6044,1.72,
6056,1.89,
6069,2.30,
6081,1.43,
6093,0.62,
6107,0.56,
6119,1.38,
6131,2.14,
6144,0.01,
6156,0.01,
6169,0.01,
6181,0.01,
6194,2.27,
6206,0.19,
6218,0.11,
6232,1.37,
6244,1.99,
6256,2.06,
6268,0.36,
6281,0.79,
6293,0.32,
6306,1.87,
6319,0.74,
6331,0.58,
6343,1.02,
6355,2.26,
6369,0.39,
6381,2.05,
6393,0.65,
6406,0.56,
6418,1.27,
6431,2.34,
6444,2.36,
6456,2.47,
6468,1.58,
6480,0.84,
6493,0.43,
6506,0.80,
6518,1.72,
6531,1.38,
6543,0.01,
6555,0.02,
6568,0.02,
6581,0.01,
6593,0.24,
6605,0.19,
6618,2.10,
6631,2.02,
6643,1.80,
6656,0.40,
6668,1.57,
6680,0.42,
6692,0.75,
6706,2.15,
6718,1.00,
6730,0.58,
6743,0.81,
6755,1.77,
6768,0.74,
6780,1.23,
6793,0.45,
6805,2.02,
6817,1.72,
6831,1.19,
6843,0.98,
6855,1.00,
6867,1.23,
6880,1.68,
6892,2.36,
6905,1.00,
6918,0.44,
6930,1.06,
6942,0.00,
6955,0.00,
6968,0.02,
6980,0.00,
6992,0.00,
7005,2.37,
7017,0.28,
7030,0.21,
7043,0.64,
7055,1.71,
7067,1.11,
7079,0.98,
7092,2.34,
7105,0.92,
7117,0.83,
7130,0.37,
7142,0.51,
7154,0.35,
7168,1.10,
7180,1.34,
7192,0.91,
7204,0.60,
7217,2.37,
7230,1.70,
7242,1.27,
7255,1.12,
7267,1.21,
7279,1.51,
7291,2.04,
7305,1.67,
7317,0.62,
7329,0.62,
7342,1.56,
7354,0.00,
7367,0.01,
7379,0.02,
7392,0.95,
7404,1.63,
7416,0.10,
7430,0.69,
7442,0.97,
7454,0.21,
7467,0.32,
7479,1.52,
7491,1.00,
7504,2.05,
7517,0.31,
7529,0.89,
7541,1.11,
7554,0.59,
7567,0.64,
7579,2.43,
7591,0.59,
7604,0.88,
7616,2.17,
7629,1.41,
7642,1.04,
7654,0.94,
7666,1.04,
7678,1.36,
7691,1.89,
7704,2.01,
7716,0.69,
7729,0.57,
7741,1.50,
7753,0.03,
7767,0.04,
7779,0.05,
7791,2.46,
7803,0.23,
7816,0.09,
7829,0.11,
7841,0.95,
7854,1.87,
7866,1.12,
7878,1.10,
7890,2.16,
7904,1.22,
7916,0.60,
7928,0.53,
7941,0.74,
7953,0.47,
7966,0.73,
7979,2.45,
7991,0.56,
8003,1.02,
8015,1.96,
8029,1.17,
8041,0.80,
8053,0.67,
8066,0.73,
8078,0.96,
8090,1.42,
8103,2.13,
8116,1.21,
8128,0.43,
8140,0.98,
8153,0.00,
8166,0.02,
8178,0.01,
8190,0.02,
8203,0.01,
8215,0.01,
8228,1.58,
8241,0.35,
8253,1.16,
8265,2.09,
8278,0.29,
8290,1.04,
8303,0.32,
8315,0.28,
8328,1.35,
8340,0.32,
8352,0.68,
8366,0.58,
8378,0.43,
8390,1.71,
8402,0.51,
8415,2.06,
8428,0.82,
8440,0.40,
8453,0.69,
8465,0.93,
8477,0.96,
8489,0.77,
8503,0.48,
8515,0.51,
8527,1.06,
8540,1.97,
8552,1.11,
8565,0.47,
8578,0.01,
8590,0.01,
8602,0.01,
8614,0.03,
8628,1.30,
8640,2.07,
8652,0.39,
8665,2.30,
8677,0.98,
8689,0.50,
8702,0.25,
8715,2.09,
8727,1.99,
8739,0.35,
8752,2.29,
8765,1.49,
8777,1.60,
8790,2.43,
8802,0.42,
8814,1.63,
8827,0.39,
8840,1.52,
8852,1.83,
8864,1.23,
8877,0.95,
8889,0.92,
8902,1.08,
8914,1.46,
8927,2.08,
8939,1.44,
8951,0.49,
8965,0.76,
8977,1.85,
8989,0.01,
9001,0.01,
9014,0.03,
9027,0.63,
9039,0.03,
9052,1.25,
9064,0.37,
9076,0.67,
9089,2.09,
9102,1.70,
9114,0.45,
9126,0.89,
9139,0.34,
9151,1.87,
9164,0.78,
9177,0.63,
9189,1.11,
9201,2.39,
9213,0.38,
9227,2.21,
9239,0.76,
9251,0.46,
9264,1.05,
9276,1.87,
9288,2.33
