=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:24:26 =~=~=~=~=~=~=~=~=~=~=~=
,0.0
41366,0.40,
41380,0.53,
41394,1.18,
41407,2.44,
41420,0.41,
41434,1.99,
41448,0.50,
41461,1.,
41339,1.37,
41353,0.52,
41366,0.40,
41380,0.53,
41394,1.18,
41407,2.44,
41420,0.41,
41434,1.99,
41448,0.50,
41461,1.0,1.31,
0,0.46,
1,1.00,
1,1.91,
2,0.81,
2,0.49,
2,2.30,
3,1.31,
7,1.46,
16,0.43,
26,0.70,
36,0.99,
48,1.18,
58,1.42,
68,1.36,
78,1.15,
89,0.90,
99,0.66,
110,0.02,
121,0.01,
133,0.02,
144,0.03,
155,0.57,
166,1.42,
179,1.71,
190,0.52,
201,0.16,
212,0.21,
224,1.52,
235,1.49,
247,0.26,
259,1.12,
270,1.71,
281,0.74,
292,0.58,
304,1.67,
316,1.18,
327,0.47,
338,0.37,
350,0.39,
361,0.43,
373,0.85,
385,1.76,
396,1.11,
407,0.53,
418,2.00,
430,0.43,
442,1.79,
453,0.42,
464,2.26,
476,0.72,
487,0.88,
498,1.80,
510,0.66,
522,0.01,
533,0.02,
544,0.02,
556,0.03,
567,1.16,
579,0.33,
590,0.11,
602,2.12,
613,0.31,
624,0.22,
635,1.97,
648,1.32,
659,0.34,
670,0.69,
681,0.83,
693,0.39,
704,1.21,
716,0.63,
728,2.08,
739,1.18,
750,0.83,
761,0.84,
774,1.17,
785,1.88,
796,1.31,
807,0.41,
819,1.45,
830,0.93,
842,0.95,
854,1.16,
865,1.09,
876,0.70,
887,1.80,
899,0.54,
911,1.11,
922,0.02,
933,0.00,
945,0.05,
956,0.03,
967,0.03,
979,1.76,
991,0.43,
1002,0.49,
1014,1.42,
1027,0.77,
1040,0.26,
1052,0.50,
1064,0.90,
1077,0.38,
1089,1.06,
1101,0.85,
1115,1.98,
1127,1.66,
1139,2.18,
1152,0.78,
1164,0.81,
1177,1.13,
1189,1.42,
1202,0.50,
1214,0.55,
1226,0.90,
1240,1.17,
1252,1.10,
1264,0.82,
1276,0.49,
1289,0.52,
1301,1.08,
1314,2.02,
1327,1.02,
1339,0.00,
1351,0.01,
1363,0.02,
1377,0.02,
1389,0.04,
1401,2.13,
1414,0.05,
1426,0.53,
1439,0.70,
1452,1.02,
1464,1.38,
1476,1.83,
1488,1.21,
1501,1.58,
1514,0.75,
1526,1.72,
1539,1.13,
1551,1.35,
1563,2.34,
1576,0.46,
1589,1.62,
1601,0.39,
1613,1.34,
1626,1.93,
1639,1.34,
